상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
폐업,서울특별시 광진구 중곡동 211-24번지 ,서울특별시 광진구 면목로 179  (중곡동),,죠이월드,207244.1775,451875.2927
폐업,서울특별시 광진구 중곡동 24-6번지 ,서울특별시 광진구 용마산로 101-1  (중곡동),,영스타,207597.8775,451167.525
폐업,서울특별시 광진구 중곡동 78-2번지 ,서울특별시 광진구 용마산로 58  (중곡동),,태양게임장,207710.4563,450732.1191
폐업,서울특별시 광진구 중곡동 628-11번지 ,서울특별시 광진구 면목로 63-1  (중곡동),,브이,206790.1759,450822.0863
폐업,서울특별시 광진구 광장동 277-12번지 ,서울특별시 광진구 광장로 79  (광장동),,현대,209289.7824,449525.4133
폐업,서울특별시 광진구 중곡동 47-14번지 ,서울특별시 광진구 능동로 338-1  (중곡동),,스타워즈컴퓨터게임나라,207101.8943,450825.1649
폐업,서울특별시 광진구 자양동 623번지 ,서울특별시 광진구 자양로13가길 7  (자양동),,게임나라,207120.9103,448036.5551
폐업,서울특별시 광진구 구의동 546-4번지 ,서울특별시 광진구 광나루로56길 85  (구의동),,테크노피아,208394.4164,448165.28
폐업,서울특별시 광진구 자양동 851-20번지 ,서울특별시 광진구 뚝섬로27길 48  (자양동),,바이킹,205809.9388,448407.2407
폐업,서울특별시 광진구 구의동 242-89번지 ,서울특별시 광진구 아차산로55길 24  (구의동),,맘모스게임월드,207586.8248,448463.8108
폐업,서울특별시 광진구 중곡동 115-4번지 ,서울특별시 광진구 천호대로 647  (중곡동),,아차산,207824.3099,450114.8678
폐업,서울특별시 광진구 화양동 35-29번지 ,서울특별시 광진구 동일로24길 57  (화양동),,소망,205959.3658,448998.2816
폐업,서울특별시 광진구 중곡동 210-6번지 ,서울특별시 광진구 면목로 189  (중곡동),,챔프,207263.5532,451977.6919
폐업,서울특별시 광진구 화양동 9-43번지 ,서울특별시 광진구 아차산로29길 28  (화양동),,아시아,206012.2241,448874.8566
폐업,서울특별시 광진구 구의동 201-22번지 ,서울특별시 광진구 구의로16길 91  (구의동),,우주,208283.0097,448816.1229
폐업,서울특별시 광진구 자양동 553-155번지 ,서울특별시 광진구 뚝섬로23길 34  (자양동),,코바게임월드,205695.7463,448321.0108
폐업,서울특별시 광진구 구의동 228-3번지 ,서울특별시 광진구 구의로 70  (구의동),,왕대,207949.8549,449113.4202
허가취소,서울특별시 광진구 자양동 216-9번지 1층 ,"서울특별시 광진구 아차산로 380  (자양동,1층)",,로얄랜드,207444.549,448263.8953
폐업,서울특별시 광진구 능동 223-5번지 ,서울특별시 광진구 능동로36길 36  (능동),,월드게임랜드,207086.2625,450376.1577
폐업,서울특별시 광진구 자양동 847-8번지 ,서울특별시 광진구 뚝섬로27길 55  (자양동),,성언,205808.6865,448453.1074
폐업,서울특별시 광진구 구의동 52-17번지 ,서울특별시 광진구 자양로43길 42  (구의동),,대공원게임월드,207924.3582,450032.351
폐업,서울특별시 광진구 광장동 339-1번지 ,서울특별시 광진구 아차산로 628  (광장동),,아마겟돈(광장점),209460.8246,449593.0208
폐업,서울특별시 광진구 구의동 246-10번지 ,,,게임천국,207438.6744,448349.3086
폐업,서울특별시 광진구 자양동 45-35번지 ,서울특별시 광진구 뚝섬로28길 4  (자양동),,형제,205652.0855,448207.7371
폐업,서울특별시 광진구 군자동 130-8번지 ,서울특별시 광진구 동일로 262  (군자동),,휴게실,206234.141,450268.9642
폐업,서울특별시 광진구 능동 223-1번지 ,서울특별시 광진구 능동로36길 12  (능동),,투투게임장,206983.1145,450426.909
폐업,서울특별시 광진구 중곡동 40-2번지 ,서울특별시 광진구 능동로 374  (중곡동),,월드게임장,207240.8321,451144.0248
폐업,서울특별시 광진구 중곡동 58-27번지 ,서울특별시 광진구 긴고랑로 115  (중곡동),,게임뱅크,207700.2302,450787.3602
허가취소,서울특별시 광진구 자양동 6-39번지 ,서울특별시 광진구 동일로20길 78  (자양동),,사이버 스페이스,205915.5774,448655.5147
폐업,서울특별시 광진구 화양동 212-0번지 ,서울특별시 광진구 광나루로 392  (화양동),,e-게임세상,206391.4436,449449.2883
폐업,서울특별시 광진구 자양동 623-5번지 ,서울특별시 광진구 자양로13길 52  (자양동),,'힐'게임프라자,207134.9653,447998.4344
폐업,서울특별시 광진구 화양동 111-119번지 ,,,조이랜드,206413.055,449340.2315
폐업,서울특별시 광진구 자양동 553-211번지 ,서울특별시 광진구 뚝섬로 507  (자양동),,천재,205831.4171,448184.9414
폐업,서울특별시 광진구 자양동 680-27번지 ,서울특별시 광진구 자양로 52-1  (자양동),,스타워즈게임랜드,207485.2029,447835.5669
폐업,서울특별시 광진구 군자동 471-13번지 ,서울특별시 광진구 능동로35길 35  (군자동),,조이월드,206747.3229,450539.0792
폐업,서울특별시 광진구 자양동 627번지 ,서울특별시 광진구 자양로13길 13  (자양동),,사이버스페이스,207284.7132,448121.8872
폐업,서울특별시 광진구 화양동 225번지 ,서울특별시 광진구 광나루로 396  (화양동),,고공침투게임센타,206432.2038,449440.6524
폐업,서울특별시 광진구 군자동 79-1번지 ,서울특별시 광진구 군자로 163  (군자동),,짱게임랜드,206721.191,450352.3117
폐업,서울특별시 광진구 자양동 606-43번지 ,서울특별시 광진구 자양번영로6길 65  (자양동),,화성정복,206915.6221,447714.0789
폐업,서울특별시 광진구 군자동 341-44번지 ,서울특별시 광진구 동일로 226  (군자동),,사이버게임뱅크,206093.6561,449958.962
폐업,서울특별시 광진구 자양동 8-1번지 ,서울특별시 광진구 아차산로 220  (자양동),,고공,205906.7722,448710.968
폐업,서울특별시 광진구 자양동 7-25번지 ,서울특별시 광진구 아차산로 224  (자양동),,고공침투,205948.4806,448701.9478
허가취소,서울특별시 광진구 자양동 612-60번지 ,,,테마파크랜드,207235.6346,448183.9132
폐업,서울특별시 광진구 중곡동 33-42번지 ,서울특별시 광진구 능동로50길 28  (중곡동),,게임나라,207429.8441,451259.1167
폐업,서울특별시 광진구 화양동 198-12번지 ,,,스타워즈,,
폐업,서울특별시 광진구 화양동 207-2번지 ,,,사차원오락실,,
폐업,서울특별시 광진구 중곡동 115-4번지 ,서울특별시 광진구 천호대로 647  (중곡동),,보난자매직월드,207824.3099,450114.8678
폐업,서울특별시 광진구 화양동 17-1번지 ,서울특별시 광진구 동일로30길 52  (화양동),,행운오락실,206136.3135,449461.6286
직권말소,서울특별시 광진구 능동 18-11번지 ,,,어린이회관수영장오락실,206808.5764,449396.058
