상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y),제공게임물명
폐업,서울특별시 광진구 중곡동 91-55번지 ,서울특별시 광진구 용마산로2길 19  (중곡동),,모닝비디오,207846.1504,450323.1073,
직권말소,서울특별시 광진구 구의동 615-13번지 ,서울특별시 광진구 자양로37길 14 (구의동),,탑비디오,207660.5085,449539.4839,
직권말소,서울특별시 광진구 군자동 326-4번지 유성빌딩 1층동 ,,,이오상사,,,
폐업,서울특별시 광진구 구의동 207-29번지 ,서울특별시 광진구 아차산로65길 43  (구의동),,비디오비젼,208132.4136,448849.2274,
직권말소,서울특별시 광진구 중곡동 175-77번지 ,서울특별시 광진구 동일로78길 47 (중곡동),,명화비디오,207178.5776,451836.9049,
폐업,서울특별시 광진구 구의동 548번지 상가 101호,,,2단지현대비디오,,,
직권말소,서울특별시 광진구 구의동 207-9,서울특별시 광진구 광나루로46길 47 (구의동),,출발비디오여행 (현장조사 2014-04-17 무단폐업),208096.9583,448821.9732,
직권말소,서울특별시 광진구 자양동 222-11,서울특별시 광진구 아차산로 330 (자양동),,푸른영상 (현장조사 2014-04-16 무단폐업),206950.1833,448335.0315,
직권말소,서울특별시 광진구 중곡동 127-20,서울특별시 광진구 천호대로123길 81 (중곡동),,초롱비디오 (현장조사 2014-05-02 무단폐업),207550.0395,450725.2596,
직권말소,서울특별시 광진구 구의동 229-21번지 ,서울특별시 광진구 자양로32길 79 (구의동),,하마비디오,207850.1409,449098.5767,
폐업,서울특별시 광진구 중곡동 47-12번지 ,서울특별시 광진구 긴고랑로16길 58  (중곡동),,비디오세상,207129.5913,450811.282,
직권말소,서울특별시 광진구 화양동 18-5번지 ,,,삼성화양대리점,206113.4345,449502.4086,
직권말소,서울특별시 광진구 자양동 5-32번지 ,서울특별시 광진구 아차산로34길 32 (자양동),,공주비디오,206026.2077,448497.1569,
폐업,서울특별시 광진구 중곡동 74-63번지 ,서울특별시 광진구 긴고랑로 174  (중곡동),,정우비디오,208259.7371,450764.2341,
직권말소,서울특별시 광진구 구의동 251-49번지 ,서울특별시 광진구 자양로22길 15 (구의동),,홈비디오,207376.8632,448604.4996,
직권말소,서울특별시 광진구 자양동 665-15번지 ,서울특별시 광진구 뚝섬로56길 41 (자양동),,원비디오,207250.41,447494.2992,
직권말소,서울특별시 광진구 자양동 228-61번지 ,,,수정비디오,,,
폐업,서울특별시 광진구 중곡동 93-23번지 ,서울특별시 광진구 자양로43길 87  (중곡동),,아트비디오,207823.7522,450239.1347,
폐업,서울특별시 광진구 군자동 10-0번지 ,서울특별시 광진구 면목로5길 24  (군자동),,하늘비디오,206523.548,450492.1739,
직권말소,서울특별시 광진구 중곡동 190-28,서울특별시 광진구 동일로72길 9 (중곡동),,뉴스타비디오 (현장조사 2014-05-07 무단폐업),206840.5029,451543.1742,
직권말소,서울특별시 광진구 중곡동 243-22번지 ,서울특별시 광진구 긴고랑로12길 28 (중곡동),,선경비디오,207020.6216,451035.7487,
직권말소,서울특별시 광진구 구의동 221-34번지 ,서울특별시 광진구 아차산로57길 10-1 (구의동),,경비디오,207743.311,448532.9286,
직권말소,서울특별시 광진구 중곡동 115-17,서울특별시 광진구 자양로43길 51 (중곡동),,돌풍비디오 (현장조사 2014-05-08 무단폐업),207890.3955,450063.8567,
폐업,서울특별시 광진구 군자동 117-13번지 ,서울특별시 광진구 동일로52길 21  (군자동),,명화비디오,206323.9663,450255.5289,
직권말소,서울특별시 광진구 구의동 200-13,서울특별시 광진구 아차산로65길 8 (구의동),,영비디오(2014.4.21. 무단폐업),208262.9759,448735.217,
직권말소,서울특별시 광진구 군자동 50-35,,,캠프비디오 (현장조사 2014-04-21 무단폐업),,,
직권말소,서울특별시 광진구 자양동 251-113번지 ,서울특별시 광진구 동일로12길 19 (자양동),,열매비디오,,,
폐업,서울특별시 광진구 중곡동 254-1번지 ,서울특별시 광진구 동일로68길 28  (중곡동),,정비디오,206761.3605,451124.7197,
직권말소,서울특별시 광진구 자양동 553-482번지 ,서울특별시 광진구 능동로5길 13 (자양동),,탑비디오,205859.9917,448261.4481,
직권말소,서울특별시 광진구 자양동 589-0,서울특별시 광진구 자양번영로1길 23 (자양동),,비디오라인 (현장조사 2014-04-15 무단폐업),206434.2138,447609.641,
직권말소,서울특별시 광진구 자양동 194-3번지 ,서울특별시 광진구 동일로2길 38 (자양동),,현주비디오,205438.4152,448044.2299,
직권말소,서울특별시 광진구 중곡동 163-24번지 ,서울특별시 광진구 능동로43길 6 (중곡동),,용비디오,207106.5263,450998.0381,
폐업,서울특별시 광진구 자양동 87-1번지 우성 104호,,,우성비디오,205739.3638,447816.0924,
폐업,서울특별시 광진구 구의동 32-1번지 ,서울특별시 광진구 자양로50가길 22  (구의동),,꿈비디오,208229.7754,450070.4777,
직권말소,서울특별시 광진구 중곡동 18-100,서울특별시 광진구 용마산로22길 13 (중곡동),,풀빛소리방1 (현장조사 2014-05-08 무단폐업),207691.9194,451276.5581,
폐업,서울특별시 광진구 광장동 330-3번지 ,서울특별시 광진구 광장로 82  (광장동),,세일비디오,209322.7029,449508.3599,
폐업,서울특별시 광진구 자양동 52-162번지 ,서울특별시 광진구 동일로4길 44  (자양동),,서진비디오,205522.0722,448178.1049,
직권말소,서울특별시 광진구 중곡동 175-85번지 ,서울특별시 광진구 면목로13길 11 (중곡동),,방 비디오,207208.1675,451868.9728,
폐업,서울특별시 광진구 광장동 185-4번지 현대상가 102 ,,,미가 비디오,,,
직권말소,서울특별시 광진구 광장동 484-0 현대3단지상가 102호,,,월드비디오 (현장조사 2014-04-30 무단폐업),208644.8192,448711.7258,
폐업,서울특별시 광진구 중곡동 50-1번지 ,서울특별시 광진구 능동로44길 36  (중곡동),,영진비디오,207305.4263,450885.4852,
직권말소,서울특별시 광진구 중곡동 120-11번지 ,서울특별시 광진구 용마산로3길 25 (중곡동),,비디오 여행,207579.4239,450421.0166,
직권말소,서울특별시 광진구 자양동 553-11번지 ,서울특별시 광진구 뚝섬로23길 50 (자양동),,명성 비디오,205780.5419,448334.3382,
폐업,서울특별시 광진구 구의동 33-59번지 ,서울특별시 광진구 자양로50길 18  (구의동),,세현영상월드,208175.4582,449968.0799,
폐업,서울특별시 광진구 능동 225-14번지 ,서울특별시 광진구 능동로30길 5  (능동),,현스크린,206865.1265,450224.3753,
폐업,서울특별시 광진구 중곡동 139-1번지 ,서울특별시 광진구 천호대로111길 24  (중곡동),,준 비디오,207229.7858,450562.8812,
직권말소,서울특별시 광진구 화양동 2-1번지 ,서울특별시 광진구 능동로15길 11 (화양동),,비디오 뱅크,206310.7962,449199.6475,
폐업,서울특별시 광진구 구의동 120번지 ,서울특별시 광진구 광나루로43길 39  (구의동),,까치 비디오,207987.5332,449343.7499,
직권말소,서울특별시 광진구 군자동 360-10,,,화양리 인켈 (현장조사 2014-04-21 무단폐업),,,
직권말소,서울특별시 광진구 구의동 610번지 현대아파트 6단지상가 610호,,,세광 비디오,208296.8338,448475.8188,
직권말소,서울특별시 광진구 자양동 659-32번지 ,서울특별시 광진구 뚝섬로 673 (자양동),,삼미비디오,207365.9744,447759.6679,
직권말소,서울특별시 광진구 중곡동 246-59,서울특별시 광진구 동일로68길 41 (중곡동),,폭스비디오 (현장조사 2014-05-07 무단폐업),206838.019,451115.9166,
직권말소,서울특별시 광진구 자양동 596-7번지 ,서울특별시 광진구 뚝섬로52길 26 (자양동),,윤 비디오,206899.9426,447623.2832,
직권말소,서울특별시 광진구 중곡동 634-4번지 ,서울특별시 광진구 동일로62길 13 (중곡동),,훼미리마켓,206558.3155,450847.2369,
직권말소,서울특별시 광진구 중곡동 78-32번지 ,서울특별시 광진구 긴고랑로36길 10 (중곡동),,영빈 비디오,207803.0587,450685.0566,
폐업,서울특별시 광진구 광장동 565-0번지 현대상가 1층동 119호,,,씨네하우스,208738.952,448858.2235,
직권말소,서울특별시 광진구 중곡동 30-41번지 ,서울특별시 광진구 능동로50길 37 (중곡동),,토탈영상,207470.0314,451264.5751,
직권말소,서울특별시 광진구 자양동 679-1번지 ,서울특별시 광진구 뚝섬로 672 (자양동),,학습비디오,207374.4049,447725.6361,
직권말소,서울특별시 광진구 중곡동 234-18,서울특별시 광진구 동일로70길 15 (중곡동),,25시영상비디오 (현장조사 2014-05-07 무단폐업),206808.9758,451377.5475,
직권말소,서울특별시 광진구 구의동 48-7번지 ,서울특별시 광진구 자양로 294-1 (구의동),,유앤아이,208099.7407,449956.6109,
직권말소,서울특별시 광진구 군자동 249 리스빌딩1층,"서울특별시 광진구 능동로 237 (군자동,리스빌딩1층)",,왕자와 공주 (현장조사 2014-04-21 무단폐업),206643.8406,449904.4999,
폐업,서울특별시 광진구 구의동 224-68번지 ,서울특별시 광진구 구의로 48  (구의동),,영화수첩,207902.2797,448879.107,
폐업,서울특별시 광진구 중곡동 150-60번지 ,서울특별시 광진구 용마산로 102  (중곡동),,푸른영상,207642.6184,451170.3917,
폐업,서울특별시 광진구 군자동 349-1번지 ,서울특별시 광진구 동일로 222  (군자동),,씨네클럽(군자점),206074.8882,449910.1518,
직권말소,서울특별시 광진구 중곡동 192-20번지 ,서울특별시 광진구 면목로 137 (중곡동),,영상마을(중곡점),207075.7248,451489.3895,
폐업,서울특별시 광진구 자양동 57-27번지 ,서울특별시 광진구 뚝섬로24길 34  (자양동),,명작 비디오,205502.3292,448088.6178,
직권말소,서울특별시 광진구 군자동 102-32번지 ,서울특별시 광진구 군자로 104-1 (군자동),,으뜸게임기,206266.1197,450011.2651,
폐업,서울특별시 광진구 구의동 593-20번지 ,서울특별시 광진구 구의강변로 45  (구의동),,게임뱅크,208022.3143,448045.8628,
