"동별(1)","동별(2)",항목,2023 4/4,2023 4/4
"동대문구","답십리2동",한국인,780,801
"동대문구","장안1동",한국인,936,1178
"동대문구","장안2동",한국인,1035,1451
"동대문구","이문1동",한국인,218,351
"동대문구","이문2동",한국인,412,589
"동대문구","답십리1동",한국인,1004,1281
"중랑구","소계",한국인,8519,10595
"중랑구","면목2동",한국인,408,537
"중랑구","면목4동",한국인,370,478
"중랑구","면목5동",한국인,603,710
"중랑구","면목7동",한국인,512,515
"중랑구","상봉1동",한국인,669,814
"중랑구","상봉2동",한국인,433,295
"중랑구","중화1동",한국인,404,503
"중랑구","중화2동",한국인,400,454
"중랑구","묵1동",한국인,641,1098
"중랑구","묵2동",한국인,352,430
"중랑구","망우3동",한국인,236,323
"중랑구","신내1동",한국인,913,1355
"중랑구","신내2동",한국인,398,582
"중랑구","면목본동",한국인,546,679
"중랑구","면목3.8동",한국인,435,474
"중랑구","망우본동",한국인,1199,1348
"성북구","소계",한국인,9796,14301
"성북구","돈암1동",한국인,314,352
"성북구","돈암2동",한국인,601,1031
"성북구","안암동",한국인,162,209
"성북구","보문동",한국인,444,519
"성북구","정릉1동",한국인,512,705
"성북구","정릉2동",한국인,530,716
"성북구","정릉3동",한국인,215,224
"성북구","정릉4동",한국인,547,645
"성북구","길음1동",한국인,978,1943
"성북구","길음2동",한국인,820,1211
"성북구","월곡1동",한국인,647,961
"성북구","월곡2동",한국인,349,447
"성북구","장위1동",한국인,541,936
"성북구","장위2동",한국인,221,262
"성북구","장위3동",한국인,609,873
"성북구","성북동",한국인,309,302
"성북구","삼선동",한국인,325,481
"성북구","동선동",한국인,145,256
"성북구","종암동",한국인,810,1287
"성북구","석관동",한국인,717,941
"강북구","소계",한국인,4546,7029
"강북구","번1동",한국인,210,277
"강북구","번2동",한국인,193,295
"강북구","번3동",한국인,279,388
"강북구","수유1동",한국인,270,439
"강북구","수유2동",한국인,340,493
"강북구","수유3동",한국인,242,352
"강북구","삼양동",한국인,396,587
"강북구","미아동",한국인,213,352
"강북구","송중동",한국인,555,713
"강북구","송천동",한국인,301,438
"강북구","삼각산동",한국인,808,1452
"강북구","우이동",한국인,328,512
"강북구","인수동",한국인,411,731
"도봉구","소계",한국인,5568,8674
"도봉구","쌍문1동",한국인,340,559
"도봉구","쌍문2동",한국인,334,455
"도봉구","쌍문3동",한국인,303,363
"도봉구","쌍문4동",한국인,329,606
"도봉구","방학1동",한국인,440,755
"도봉구","방학2동",한국인,242,418
"도봉구","방학3동",한국인,496,984
"도봉구","창1동",한국인,437,700
"도봉구","창2동",한국인,565,805
"도봉구","창3동",한국인,164,341
"도봉구","창4동",한국인,552,841
"도봉구","창5동",한국인,488,694
"도봉구","도봉1동",한국인,242,374
"도봉구","도봉2동",한국인,636,779
"노원구","소계",한국인,10622,15803
"노원구","월계1동",한국인,393,496
"노원구","월계2동",한국인,580,783
"노원구","월계3동",한국인,809,913
