상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
폐업,서울특별시 광진구 구의동 125-25번지 ,,,프로하우스,단란주점,207978.5469,449175.0186
폐업,서울특별시 광진구 화양동 21-38번지 ,,,청록단란주점,단란주점,205966.6491,449499.9441
폐업,서울특별시 광진구 화양동 45-82번지 ,,,사브단란주점,단란주점,205821.8985,448867.0379
폐업,서울특별시 광진구 구의동 246-59번지 ,,,크로바단란주점,단란주점,207455.6405,448372.0209
영업,서울특별시 광진구 광장동 322-3,서울특별시 광진구 아차산로76길 32 (광장동),4969,한강썸라이브,단란주점,209433.056,449426.8922
영업,서울특별시 광진구 자양동 624-29 ,서울특별시 광진구 자양로13길 22 (자양동),5057,가희,단란주점,207242.9399,448116.7783
폐업,서울특별시 광진구 구의동 599-8번지 ,,,제우스,단란주점,208051.9537,447854.806
폐업,서울특별시 광진구 구의동 226-4번지 ,,,유람선,단란주점,207906.6744,449045.6908
폐업,서울특별시 광진구 화양동 121-9번지 ,,,만남 단란주점,단란주점,206198.4716,449452.1814
폐업,서울특별시 광진구 구의동 243-30번지 ,,,동서울비지니스,단란주점,207656.0114,448448.7274
폐업,서울특별시 광진구 화양동 17-12번지 ,,,세계로단란주점,단란주점,206073.1203,449449.446
폐업,서울특별시 광진구 화양동 9-86번지 ,,,신세대단란주점,단란주점,206040.6803,448773.1404
폐업,서울특별시 광진구 화양동 111-34번지 ,서울특별시 광진구 능동로19길 23 (화양동),5009,시카코블스,단란주점,206333.0208,449427.0495
폐업,서울특별시 광진구 구의동 246-40번지 ,,,윈단란주점,단란주점,207528.016,448344.155
영업,서울특별시 광진구 중곡동 163-1 ,서울특별시 광진구 긴고랑로 50 (중곡동),4914,별과음악사이,단란주점,207145.533,451119.0177
폐업,서울특별시 광진구 화양동 111-106번지 ,서울특별시 광진구 능동로19길 24 (화양동),5009,필,단란주점,206341.1878,449444.126
영업,서울특별시 광진구 화양동 119-4 ,서울특별시 광진구 군자로 52 (화양동),5009,투투,단란주점,206168.2616,449491.4001
폐업,서울특별시 광진구 구의동 199-6번지 ,,,람바다단란주점,단란주점,208385.6149,448722.9525
폐업,서울특별시 광진구 화양동 111-84번지 ,,,느낌단란주점,단란주점,206459.1888,449331.7758
폐업,서울특별시 광진구 구의동 257-76번지 ,,,탤런트단란주점,단란주점,207456.5121,448476.7479
폐업,서울특별시 광진구 자양동 216-23번지 ,,,7080뮤직,단란주점,207481.1674,448276.0786
폐업,서울특별시 광진구 중곡동 157-4번지 ,,,가시나무새,단란주점,207055.508,450542.1879
영업,서울특별시 광진구 구의동 246-31,서울특별시 광진구 자양로18길 14 (구의동),5044,콘서트7080,단란주점,207380.5402,448360.6995
폐업,서울특별시 광진구 자양동 246-5번지 ,서울특별시 광진구 동일로 68 (자양동),5080,청기와,단란주점,205442.842,448517.5757
폐업,서울특별시 광진구 화양동 207-0번지 ,,,리틀죤단란주점,단란주점,206366.696,449440.9836
