상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
폐업,서울특별시 광진구 구의동 546-1번지 동서울터미널빌딩B1-105호 ,"서울특별시 광진구 강변역로 50  (구의동,동서울터미널빌딩B1-105호)",,동서울 비디오감상실,208201.9933,447967.2995,비디오물감상실업
폐업,서울특별시 광진구 화양동 7-39번지 (3층) ,"서울특별시 광진구 동일로22길 96  (화양동,(3층))",,총알탄비디오,206059.5416,448743.5741,비디오물감상실업
폐업,서울특별시 광진구 화양동 2-48번지 (지층) ,"서울특별시 광진구 능동로 147  (화양동,(지층))",,스크린월드 비디오감상실,206313.7879,449079.2426,비디오물감상실업
직권말소,서울특별시 광진구 화양동 11-9번지 (지층) ,"서울특별시 광진구 동일로24길 103  (화양동,(지층))",,총알탄비디오2 비디오감상실,206177.8588,448904.9476,비디오물감상실업
폐업,서울특별시 광진구 화양동 7-1번지 (3층) ,"서울특별시 광진구 아차산로33길 7  (화양동,(3층))",,MECCA비디오물감상실,206109.0837,448718.2156,비디오물감상실업
폐업,서울특별시 광진구 구의동 631-6번지 프라임상가5층 ,,,프라임 비디오감상실,,,비디오물감상실업
폐업,서울특별시 광진구 화양동 7-42번지 ,서울특별시 광진구 동일로22길 100  (화양동),,허리우드비디오방,206071.427,448734.2494,비디오물감상실업
폐업,서울특별시 광진구 화양동 21-23번지 ,서울특별시 광진구 광나루로14길 8  (화양동),,쉼터비디오방,206002.3044,449507.5874,비디오물감상실업
직권말소,서울특별시 광진구 화양동 5-72번지 ,서울특별시 광진구 아차산로33길 14  (화양동),,투 쓰리 비디오감상실,206138.0318,448743.5083,비디오물감상실업
직권말소,서울특별시 광진구 화양동 3-39번지 지하1층 ,"서울특별시 광진구 능동로 129-1 (화양동,지하1층)",,마스크 비디오감상실 (현장조사 2014-02-25 무단폐업),206256.1304,448927.5554,비디오물감상실업
폐업,서울특별시 광진구 화양동 9-90번지 ,서울특별시 광진구 아차산로29길 12  (화양동),,DMZ 비디오감상실,205981.4883,448801.0036,비디오물감상실업
폐업,서울특별시 광진구 화양동 5-87번지 (3층) ,"서울특별시 광진구 동일로22길 119  (화양동,(3층))",,시네피아비디오감상실,206170.4362,448717.6654,비디오물감상실업
