어린이집명,어린이집유형,시설 위도(좌표값),시설 경도(좌표값)
한내어린이집,국공립,37.63202763,127.0679356
햇살나무어린이집,국공립,37.5894511834169,126.936775260394
홍은어린이집,국공립,37.5797278027333,126.933738132138
자람어린이집,국공립,37.57181375856,126.914558067358
가재울어린이집,국공립,37.5730654851079,126.920052496547
가람어린이집,국공립,37.5730797901335,126.917921491129
서대문종합사회복지관방과후교실어린이집,국공립,37.57142241,126.9200528
동방어린이집,국공립,37.57142241,126.9200528
삼성아이마루어린이집,국공립,37.5485303639758,126.946145777846
산들어린이집,국공립,37.553867608808,126.948575113022
마포자이 더 센트리지어린이집,국공립,37.5505160737857,126.948984812987
신촌사랑어린이집,국공립,37.5499422954431,126.947292255314
염리어린이집,국공립,37.5499422954431,126.947292255314
연남어린이집,국공립,37.56397299,126.9184139
성미어린이집,국공립,37.56287047,126.9112944
색종이어린이집,국공립,37.6673155729846,127.051607902831
우주어린이집,국공립,37.6649429246481,127.053442358131
재미나어린이집,국공립,37.6668963961,127.0560409989
공룡어린이집,국공립,37.669561344807,127.051428103672
아이세상어린이집,국공립,37.6690680645146,127.051413595075
꿈모아어린이집,국공립,37.666897,127.05604
상계8동어린이집,국공립,37.6686475,127.053369
상계해솔어린이집,국공립,37.6652530805422,127.075325672453
청암아이들세상어린이집,국공립,37.6659599106,127.0800957726
파란나라어린이집,국공립,37.6636222723977,127.078823315624
햇님달님어린이집,국공립,37.6677714563964,127.081882315467
상계어린이집,국공립,37.66786769,127.0783442
상계4동어린이집,국공립,37.6719467,127.0832077
구립 다온어린이집,국공립,37.5164313936523,126.852640241675
구립 아이샘어린이집,국공립,37.5170450165143,126.851592719095
구립 아이숲어린이집,국공립,37.5191340205203,126.852335163298
구립 이든샘어린이집,국공립,37.5128219773832,126.834928836227
구립 신트리어린이집,국공립,37.5143116016,126.8550412342
구립 꿈동산어린이집,국공립,37.5085352598,126.8444117317
구립 그린나래어린이집,국공립,37.5086478889,126.8423756519
구립 파란나라어린이집,국공립,37.5123238355,126.8534570407
구립 꿈초롱어린이집,국공립,37.511315169332,126.83992580984
구립 소담어린이집,국공립,37.5117099649655,126.852502485164
구립 해와별어린이집,국공립,37.5134467077,126.8384293393
구립 조은어린이집,국공립,37.5085352598,126.8444117317
구립 도시마을어린이집,국공립,37.5114784766136,126.84345552508
구립 신목동어린이집,국공립,37.513016,126.85302
구립 은솔어린이집,국공립,37.50931509,126.8450213
구립 푸른마을어린이집,국공립,37.51256446,126.8362333
구립 한누리어린이집,국공립,37.5152932907756,126.827271327992
구립 새빛어린이집,국공립,37.5083941628522,126.833977821092
구립 넓은들어린이집,국공립,37.5126267189757,126.830656590991
구립 큰솔어린이집,국공립,37.5151399205394,126.830240880168
구립 신정3동어린이집,국공립,37.518796,126.850124
연화어린이집,국공립,37.51725865,127.0371842
구립 엠밸리큰나무어린이집,국공립,37.5618447397444,126.836102534253
마곡4 꿈의숲어린이집,국공립,37.5689166862328,126.823924952598
즐거운어린이집,국공립,37.57039342,126.8474419
구립 가양 어린이집,국공립,37.56988311,126.8408752
구립 청솔어린이집,국공립,37.5500975000546,126.832538096178
구립 드보라어린이집,국공립,37.5527691474006,126.832672448278
구립 푸른별어린이집,국공립,37.5538575218061,126.827640703414
구립 노블키즈어린이집,국공립,37.553566182904,126.830534009378
마곡14 아이마당어린이집,국공립,37.5564671369,126.826021952522
마곡15 누리어린이집,국공립,37.5573168540741,126.827302261642
하늘샘어린이집,국공립,37.5513262569056,126.834309805598
드림어린이집,국공립,37.54941891,126.8262733
마곡9 나인어린이집,국공립,37.5623257092992,126.819910562284
마곡13 하나어린이집,국공립,37.5578916266594,126.817671843231
마곡12 온새미어린이집,국공립,37.5596659723194,126.823190683898
마곡11 나무햇살어린이집,국공립,37.5594155172,126.8208145121
마곡10 별솔어린이집,국공립,37.5596548876796,126.818850273223
단이슬어린이집,국공립,37.5585294153,126.8141300854
구립공항어린이집,국공립,37.55704734,126.8145833
마곡1 고운비어린이집,국공립,37.5687500086871,126.81857356382
구립 모아어린이집,국공립,37.5746106619,126.8120388999
마곡8 열린숲어린이집,국공립,37.5643648577,126.8191546599
마곡3 연두어린이집,국공립,37.5685319216655,126.819719606021
마곡7 미래꿈어린이집,국공립,37.5658552288745,126.822802532815
마곡1 하람어린이집,국공립,37.5684218251817,126.818429472993
마곡6 마곡숲어린이집,국공립,37.5657531051838,126.819622169286
마곡5 해맑은어린이집,국공립,37.5658363300431,126.817494016783
마곡2 해오름어린이집,국공립,37.5695874393888,126.820460467549
은빛어린이집,국공립,37.5711918479405,126.818447116204
나래어린이집,국공립,37.57475152,126.8126986
새싹어린이집,국공립,37.57050186,126.8133716
구립 해담어린이집,국공립,37.5700367136661,126.810315677262
서울YMCA방화어린이집,국공립,37.57012466,126.8053643
구립 아이솔 어린이집,국공립,37.56441216,126.8073232
구립 한숲어린이집,국공립,37.57681041,126.8174762926
상록어린이집,국공립,37.57835183,126.81107
보성어린이집,국공립,37.57466596,126.8189896
한울어린이집,국공립,37.4959832271389,127.059911669422
보람어린이집,국공립,37.49436986,127.0613247
하영어린이집,국공립,37.5057482055276,126.879910843074
푸르니어린이집,국공립,37.5059844533437,126.880760117755
늘사랑어린이집,국공립,37.506710798043,126.877371627118
해가람어린이집,국공립,37.5130429365568,126.884402317549
사랑가득어린이집,국공립,37.5109612823,126.8822384152
해피벨어린이집,국공립,37.5069847608018,126.880950796877
은가람어린이집,국공립,37.5137625902,126.8832339091
반야어린이집,국공립,37.51346659,126.8838651
우방어린이집,국공립,37.4979997401583,126.874663314804
푸른숲어린이집,국공립,37.4989185578,126.8770371909
구립 구일어린이집,국공립,37.49176847,126.8743466
디지털꿈터어린이집,국공립,37.4840224509886,126.892528399309
이화우성어린이집,국공립,37.4901477076,126.8932529137
다솔어린이집,국공립,37.48834239,126.8960826
자람터어린이집,국공립,37.48160995975,126.893477617092
새움터어린이집,국공립,37.4869818137189,126.895313567344
영서어린이집,국공립,37.48833244,126.8935736
아나율장애아어린이집,국공립,37.48680452,126.8908134
연꽃어린이집,국공립,37.4873483040307,126.890330632763
사랑별어린이집,국공립,37.4870528338,126.8865771392
두산어린이집,국공립,37.48945849145,126.888435825263
키즈극동어린이집,국공립,37.4912796333,126.8896147652
구민어린이집,국공립,37.49464163,126.891566
미래어린이집,국공립,37.48804867,126.8876312
세화어린이집,국공립,37.48700929,126.8862411
달숲어린이집,국공립,37.500515359325,126.860220303534
햇살어린이집,국공립,37.5034435624383,126.865996812746
파란나라어린이집,국공립,37.4985789254,126.8631506148
고척어린이집,국공립,37.50274698,126.8605592
비룡어린이집,국공립,37.5044154775371,126.84826724796
원진어린이집,국공립,37.5058078026755,126.855675195057
보배사랑어린이집,국공립,37.5057201701489,126.861499918969
푸르지오아이숲어린이집,국공립,37.5076940791416,126.857363839349
하늘빛어린이집,국공립,37.5051277907,126.8573616533
블루밍서연어린이집,국공립,37.5051511052,126.8587685394
능곡어린이집,국공립,37.50318175,126.8545516
구립지혜어린이집,국공립,37.4583123428083,126.900491204854
구립초록빛어린이집,국공립,37.4587428187325,126.903499989509
구립참행복한어린이집,국공립,37.448467576196,126.901574600208
구립남서울힐스테이트어린이집,국공립,37.4460587116885,126.900665647992
구립꿈나래어린이집,국공립,37.4548504,126.8976059
구립금주어린이집,국공립,37.45666021,126.9008526
예그린어린이집,국공립,37.58327188,126.9130862
신나라어린이집,국공립,37.57635796,126.9132467
은가하나어린이집,국공립,37.5823319881179,126.914904087427
서대문어린이집,국공립,37.58250961,126.9102521
한별어린이집,국공립,37.562515945888,126.950965841222
산마루어린이집,국공립,37.5657149840271,126.951088818139
충현방과후교실어린이집,국공립,37.56478826,126.954705
선화어린이집,국공립,37.5611348301243,126.96231040759
헤아림어린이집,국공립,37.560007778762,126.953712105929
솔빛어린이집,국공립,37.5593443054031,126.956369399116
별빛어린이집,국공립,37.5575646978787,126.95599695414
은빛어린이집,국공립,37.5582847682386,126.954086658005
푸른빛어린이집,국공립,37.5580084931617,126.950448179829
북아현어린이집,국공립,37.5590808235,126.9530036139
북아현방과후교실어린이집,국공립,37.5590808235,126.9530036139
신촌어린이집,국공립,37.55756206,126.9395605
구립화목한어린이집,국공립,37.44939216,126.9104638
구립예본몬테소리어린이집,국공립,37.45296074,126.9113908
구립동산어린이집,국공립,37.45176972,126.9119958
구립시흥5동어린이집,국공립,37.4498934232636,126.907317108391
구립 아인어린이집,국공립,37.535612045273,126.866386189191
구립 사랑의몬테소리어린이집,국공립,37.535559400551,126.869260686595
구립 한마음어린이집,국공립,37.5356776946166,126.868685711613
구립 동화어린이집,국공립,37.53894565,126.8693334
구립 모새미어린이집,국공립,37.5386671647283,126.867033035696
구립 무궁화어린이집,국공립,37.53475228,126.8674563
당산2동센트럴아이파크별하어린이집,국공립,37.5298537804261,126.902296903998
당산2동은솔어린이집,국공립,37.530157415139,126.901750631116
아르미어린이집,국공립,37.5329320445,126.9028359571
아이꿈터어린이집,국공립,37.5314959813,126.8966243298
즐거운어린이집,국공립,37.5314959813,126.8966243298
도담어린이집,국공립,37.5331104696,126.90508494
남서울어린이집,국공립,37.5286765463446,126.908384987373
동화어린이집,국공립,37.5310172769668,126.897344537872
영은어린이집,국공립,37.5252874944,126.8899900369
아이행복어린이집,국공립,37.5220926630512,126.884456230579
양평3가어린이집,국공립,37.52685109,126.8873573
양평1동 어린이집,국공립,37.5236245376,126.8883815756
늘해랑어린이집,국공립,37.5363197924,126.8944226699
거성어린이집,국공립,37.5314269827,126.8920129607
선유어린이집,국공립,37.5320088434,126.8937951748
이든어린이집,국공립,37.5344348536,126.8943710193
반디어린이집,국공립,37.5424858107581,126.890010033219
양평2동어린이집,국공립,37.53809531,126.8964064
창의나라어린이집,국공립,37.5088963987,126.921556261
금나래어린이집,국공립,37.5104366213,126.9181705375
신일어린이집,국공립,37.51114042,126.921431
신길파크자이솔숲어린이집,국공립,37.5025673404709,126.912947705758
아너스빌어린이집,국공립,37.4947127568,126.9089783295
작은꼬마어린이집,국공립,37.4973999689,126.9118972016
꼬꼬마어린이집,국공립,37.49560415,126.9107687
예쁜아이어린이집,국공립,37.49939195,126.9181032
꿈나무어린이집,국공립,37.49900757,126.9130388
늘봄보라매SK뷰어린이집,국공립,37.5035225820309,126.917912876569
하람어린이집,국공립,37.5004198781,126.9115453356
래미안에스티움어린이집,국공립,37.5004198781,126.9115453356
하정어린이집,국공립,37.506002822,126.9222378807
햇님어린이집,국공립,37.5591573332,126.9060750472
샘물어린이집,국공립,37.55824689,126.8982382
영등포든든어린이집,국공립,37.4980874625372,126.897936406668
다온어린이집,국공립,37.4945442062,126.8968426434
해솔어린이집,국공립,37.5032819620841,126.898694420462
해태어린이집,국공립,37.49802059,126.8948432
이화어린이집,국공립,37.5117544634,126.9023250258
드림타운어린이집,국공립,37.5117544634,126.9023250258
푸른어린이집,국공립,37.51321793,126.9167725
어깨동무어린이집,국공립,37.51360246,126.9074553
삼환어린이집,국공립,37.5296530380342,126.904723897291
푸르지오어린이집,국공립,37.5311867152,126.9060648785
아크로타워어린이집,국공립,37.5243334406,126.9080282944
한남어린이집,국공립,37.52283796,126.9032605
영이어린이집,국공립,37.51800237,126.9096163
영삼어린이집,국공립,37.52132627,126.9041616
가람어린이집,국공립,37.508889798,126.89867327
예님어린이집,국공립,37.50944552,126.8959733
미루나무어린이집,국공립,37.50936991,126.9064414
큰나무어린이집,국공립,37.5173399710176,126.893173469944
자연어린이집,국공립,37.5197178439263,126.882853598352
아이숲어린이집,국공립,37.5176102101789,126.893105215027
문래동제2어린이집,국공립,37.516406683062,126.887513428564
문래힐스테이트어린이집,국공립,37.5191940837,126.8910351489
모아미래도어린이집,국공립,37.5172726911,126.8867214504
문래자이어린이집,국공립,37.5162769232,126.8973918801
햇님어린이집,국공립,37.5192595164478,126.88405337225
목화마을어린이집,국공립,37.514748,126.89754
문래동어린이집,국공립,37.51547069,126.8913485
구립꿈담어린이집,국공립,37.5040195207681,126.953594014785
구립아기둥지어린이집,국공립,37.4927903402733,126.958607524451
구립푸른솔어린이집,국공립,37.4972360979972,126.951031620062
구립로야어린이집,국공립,37.49719825,126.9510078
구립예담어린이집,국공립,37.50696762,126.9512399
구립상도어린이집,국공립,37.50255,126.946806
구립아름어린이집,국공립,37.5006958977771,126.945586425822
구립노블어린이집,국공립,37.50497881302,126.94754555252
구립새빛어린이집,국공립,37.5055657216,126.9389089785
구립한빛어린이집,국공립,37.5042916774767,126.942452185781
구립나래어린이집,국공립,37.50442398,126.9401361
구립가온어린이집,국공립,37.5019392069127,126.932353697637
구립상도3동어린이집,국공립,37.4986427574421,126.932934548794
구립연꽃어린이집,국공립,37.49327708,126.9362159
구립스마일어린이집,국공립,37.4992599235035,126.934499141475
구립상도4동어린이집,국공립,37.5012508751064,126.937320165901
구립성대어린이집,국공립,37.49679995,126.9352917
구립샛별어린이집,국공립,37.49920226,126.9391118
구립한결어린이집,국공립,37.4992730883915,126.926260632513
구립키즈사랑어린이집,국공립,37.5129164094741,126.929714005254
신길삼성어린이집,국공립,37.5040817879815,126.922099634431
구립대방보듬이나눔이어린이집,국공립,37.5029097154907,126.924388178016
구립비둘기어린이집,국공립,37.50960065,126.9298628
구립꿈나무어린이집,국공립,37.50459382,126.9229514
구립숲속자이어린이집,국공립,37.4988405457011,126.926164933177
구립아리아어린이집,국공립,37.4907971514668,126.923170690843
구립도담어린이집,국공립,37.4951137431226,126.915079759333
구립태성어린이집,국공립,37.4962288224335,126.917100436896
구립한울어린이집,국공립,37.4942568403066,126.926282667721
구립은하어린이집,국공립,37.4958293901189,126.92510350114
구립보라매어린이집,국공립,37.49751525,126.9223598
구립까망돌어린이집,국공립,37.5051212964399,126.960613850059
구립도레미어린이집,국공립,37.5098848675042,126.959163609323
구립이솔어린이집,국공립,37.5042864338047,126.959705278901
구립강마루어린이집,국공립,37.5102189012405,126.961125799611
구립꿈마루어린이집,국공립,37.5108177277938,126.960101880351
구립큰별어린이집,국공립,37.50652852,126.9655118
구립흑석어린이집,국공립,37.49999038,126.9616935
구립트윈파크어린이집,국공립,37.5143213035653,126.950621295175
구립강남어린이집,국공립,37.5102325501,126.9455059855
구립키움어린이집,국공립,37.5102100866918,126.949707852962
구립로미어린이집,국공립,37.507071924546,126.945720911552
구립노량진어린이집,국공립,37.5116890320812,126.942668762505
구립선재어린이집,국공립,37.51144289,126.9569143
구립열린어린이집,국공립,37.4870492649563,126.977459476491
구립장미어린이집,국공립,37.4891889420355,126.976350715056
구립백합어린이집,국공립,37.4900670374931,126.974490360361
구립사당빛나어린이집,국공립,37.4912658049916,126.976553597882
구립이수어린이집,국공립,37.4920575874,126.9803832902
구립새싹어린이집,국공립,37.48981738,126.9760201
구립키즈맘어린이집,국공립,37.4870573554059,126.937398737796
구립보라매어린이집,국공립,37.4928677834,126.9306419506
구립색동어린이집,국공립,37.4885038440273,126.93156865526
구립당곡어린이집,국공립,37.4867220283266,126.935441783095
구립 해뜰어린이집,국공립,37.5648114699666,126.842878790254
구립 진로어린이집,국공립,37.5594917973848,126.84684558046
구립 큰별어린이집,국공립,37.5624771101305,126.848309445259
구립 보솜어린이집,국공립,37.5592538175045,126.849557836716
은초록어린이집,국공립,37.5618658768806,126.843377322211
성모어린이집,국공립,37.5602153226149,126.850734678075
푸른어린이집,국공립,37.561954,126.85021
둥근마음어린이집,국공립,37.5638836999554,126.84222567475
구립꼬꼬마어린이집,국공립,37.4629044970994,126.927276930682
구립양지어린이집,국공립,37.46870578,126.9284609
구립미림어린이집,국공립,37.46637006,126.9309247
구립합실어린이집,국공립,37.4640503269223,126.925419213989
구립초롱별어린이집,국공립,37.476261267,126.9153814691
구립운서어린이집,국공립,37.4744977726987,126.913832395526
구립하난곡어린이집,국공립,37.4763833889,126.9199577571
구립다원어린이집,국공립,37.4717899965079,126.912279976276
구립난우어린이집,국공립,37.4804012828968,126.913965811441
서초구립 나래어린이집,국공립,37.4587302055114,127.024097450943
서초구립 아람어린이집,국공립,37.4629311248937,127.024338995819
서초구립 서초자연이랑 어린이집,국공립,37.4561153177657,127.013784347125
