자치구,행정동,유해업소수,대형쇼핑몰수,도서관수,미술관 박물관 극장수,"의료시설수(병원,의원,보건소,보건지소)",공원 수,경로당 수,보육시설정원,보육시설현원,보육시설포화도,횡단보도수,육교수,CCTV수,월평균소득금액,평균면적(m^2),면적당 가격(만원/m^2),"주유소,가스충전소 수",0~9세,2030_상주인구수,23년 출생인구,2030대비 출생아수(%),공립,사립,공립+사립,평균학급수,평균유아수,평균 학급당 유아수
서대문구,남가좌1동,8,0,0,0,1,3,7,499,465,0.93,25,0,58,4509826,73,1330,0,1952,4072,96,2.36,1,0,1,4.0,81.0,20.2
마포구,염리동,1,0,1,0,0,2,9,385,282,0.73,9,2,132,3981720,73,1642,0,1267,3654,94,2.57,1,1,2,4.5,94.0,19.0
마포구,연남동,5,0,0,0,7,2,5,160,111,0.69,38,0,136,2995039,70,927,2,457,5925,36,0.61,0,2,2,6.0,145.0,24.2
마포구,성산1동,2,0,1,1,2,4,5,213,178,0.84,40,0,143,2836873,81,772,3,709,6009,67,1.11,1,1,2,4.0,25.0,6.2
노원구,상계8동,0,0,0,0,0,5,4,673,518,0.77,17,0,52,3184253,54,1090,0,1901,7437,294,3.95,2,3,5,6.8,145.8,20.2
노원구,상계3·4동,3,0,0,0,0,5,11,698,417,0.6,30,0,211,2654371,73,845,1,1479,6342,77,1.21,1,3,4,4.2,54.2,12.4
양천구,신정3동,28,0,1,0,2,11,19,988,837,0.85,126,14,378,3179649,76,1020,4,3132,11857,233,1.97,4,3,7,6.3,97.7,14.1
강남구,논현2동,55,6,1,1,9,2,5,223,139,0.62,58,0,502,4003462,94,1693,2,860,7747,94,1.21,1,2,3,3.0,29.0,9.7
강서구,가양1동,44,5,0,1,8,6,25,1042,856,0.82,190,2,268,3613452,82,1113,12,1350,14945,146,0.98,0,3,3,4.0,72.0,17.7
강서구,발산1동,6,10,1,0,13,8,10,1041,712,0.68,174,7,148,3202207,81,906,3,2317,9433,118,1.25,1,3,4,8.2,194.2,25.2
강서구,공항동,9,1,0,0,1,6,8,975,835,0.86,72,0,186,2859584,75,1212,9,2816,8537,151,1.77,2,2,4,3.3,59.7,18.2
강서구,방화1동,4,6,0,0,3,12,24,1143,939,0.82,94,0,199,3366041,78,1094,1,3093,11444,194,1.7,3,2,5,6.0,118.2,18.6
강서구,방화2동,16,2,0,0,1,8,9,469,390,0.83,54,4,268,2726484,63,846,9,993,6780,105,1.55,1,3,4,4.3,72.7,16.5
강서구,방화3동,0,1,1,0,1,9,17,645,492,0.76,82,0,101,3076344,70,972,0,1035,6491,150,2.31,1,2,3,3.3,52.0,15.2
강남구,대치1동,2,8,0,0,2,4,15,361,243,0.67,46,3,174,7464364,111,2865,0,1530,4832,30,0.62,0,2,2,5.0,124.0,24.8
구로구,신도림동,5,6,1,0,0,3,21,956,790,0.83,72,15,218,4406430,80,1284,2,2984,10299,242,2.35,1,2,3,5.0,107.3,21.2
구로구,구로1동,3,0,0,0,0,0,16,649,541,0.83,14,20,103,3394043,72,938,0,1560,6394,170,2.66,1,2,3,3.0,65.5,21.8
구로구,구로3동,43,3,1,0,3,2,11,606,451,0.74,67,4,369,2910926,49,654,1,957,9230,102,1.11,2,1,3,3.7,52.7,13.8
구로구,구로4동,19,0,1,0,0,2,10,532,433,0.81,33,3,250,2644376,48,578,1,595,5896,83,1.41,0,2,2,4.0,63.5,15.7
구로구,고척1동,5,5,0,0,3,1,19,863,660,0.76,60,6,220,2982277,71,867,0,1675,6271,203,3.24,2,0,2,4.0,63.5,15.6
구로구,고척2동,2,2,1,0,2,6,10,826,625,0.76,37,8,354,2900148,74,790,1,1263,7162,93,1.3,1,0,1,3.0,23.0,7.7
금천구,시흥1동,61,6,1,0,24,5,9,780,584,0.75,87,8,381,2788702,62,861,3,1396,9598,122,1.27,0,2,2,4.0,50.0,12.4
서대문구,북가좌2동,8,0,0,0,0,5,5,419,338,0.81,34,0,331,2612322,86,774,2,1177,9236,92,1.0,0,2,2,6.0,153.0,25.5
서대문구,충현동,4,0,0,1,1,0,6,505,418,0.83,37,2,233,3226418,80,1156,1,1046,5838,63,1.08,0,0,0,0.0,0.0,0.0
서대문구,북아현동,5,1,0,0,1,5,7,517,448,0.87,20,1,126,4198339,81,1707,0,1290,4813,104,2.16,1,0,1,6.0,93.0,15.5
서대문구,신촌동,77,4,0,3,4,4,4,467,296,0.63,54,2,370,3357577,55,954,1,466,9757,58,0.59,0,3,3,6.0,141.0,23.5
금천구,시흥5동,0,2,0,0,14,3,6,1124,629,0.56,35,0,303,2387416,77,688,0,714,4815,57,1.18,1,1,2,3.0,39.0,13.0
양천구,목4동,0,2,1,0,0,4,7,359,292,0.81,32,0,255,3453966,82,1021,0,976,7338,63,0.86,0,1,1,4.0,58.0,14.5
영등포구,당산2동,7,5,1,0,0,2,17,859,636,0.74,32,6,88,4157253,71,1260,0,2376,14236,227,1.59,1,2,3,3.0,39.0,13.0
영등포구,양평1동,29,1,0,0,1,1,18,516,440,0.85,59,3,88,3521740,69,1190,2,1157,6443,165,2.56,1,2,3,4.0,78.0,19.6
영등포구,양평2동,24,0,1,0,2,1,14,602,489,0.81,63,16,124,3692092,69,1121,6,1474,8238,201,2.44,1,1,2,4.5,80.5,18.2
영등포구,신길1동,7,2,1,0,12,2,16,363,315,0.87,16,0,127,2802338,43,1109,1,733,5924,89,1.5,0,0,0,0.0,0.0,0.0
영등포구,신길6동,8,0,0,0,1,0,9,651,448,0.69,44,0,120,2981955,67,1277,2,935,5876,97,1.65,1,1,2,5.5,102.5,16.6
영등포구,신길7동,4,0,0,0,2,1,3,416,376,0.9,28,3,110,3641547,74,1424,1,1883,5264,134,2.55,1,1,2,5.0,113.0,22.6
마포구,망원2동,2,1,0,0,0,2,5,401,351,0.88,52,2,105,2937758,66,1041,2,822,5357,77,1.44,1,0,1,3.0,32.0,10.7
영등포구,대림3동,12,1,1,0,7,5,9,555,476,0.86,57,2,167,2926587,69,896,3,935,6511,104,1.6,1,3,4,5.5,94.5,15.5
영등포구,영등포본동,18,3,0,0,4,2,8,403,328,0.81,39,3,156,3302786,70,1166,2,1143,6111,101,1.65,0,2,2,3.5,66.5,18.4
영등포구,영등포동,179,10,0,0,14,4,14,377,274,0.73,107,0,222,3602238,41,1165,2,1097,11107,142,1.28,1,2,3,4.0,78.7,19.7
영등포구,도림동,8,0,0,0,0,1,8,448,371,0.83,38,0,137,3061526,71,1149,3,815,5883,106,1.8,0,2,2,6.0,138.0,23.3
영등포구,문래동,11,3,1,0,11,1,24,1002,772,0.77,115,7,239,4056842,78,1191,7,2846,9293,254,2.73,1,0,1,3.0,24.0,8.0
동작구,노량진2동,11,0,2,0,1,0,2,35,25,0.71,14,2,114,2427127,67,1762,2,198,4239,16,0.38,0,1,1,6.0,133.0,22.2
동작구,상도1동,4,0,1,1,1,3,14,932,767,0.82,47,16,255,3908723,78,965,3,2109,15829,176,1.11,1,4,5,4.5,79.8,17.0
동작구,상도2동,8,1,0,0,1,3,7,663,579,0.87,53,4,157,3824542,75,1527,0,2136,8531,155,1.82,0,2,2,4.0,51.0,12.8
동작구,상도3동,3,0,0,0,0,3,3,381,300,0.79,11,8,182,2600915,74,789,2,862,8181,70,0.86,0,1,1,3.0,0.0,0.0
동작구,상도4동,0,0,1,0,1,1,4,683,512,0.75,20,4,242,2585296,82,930,1,1181,9148,116,1.27,0,3,3,6.0,130.5,21.8
동작구,대방동,19,3,1,0,2,2,11,466,363,0.78,80,8,235,3549959,75,1086,1,1623,11914,98,0.82,0,2,2,8.0,182.0,22.8
동작구,신대방2동,4,1,0,0,2,0,1,636,511,0.8,27,2,169,3379548,104,1036,2,1449,6644,146,2.2,0,0,0,0.0,0.0,0.0
동작구,흑석동,8,1,0,0,1,2,6,769,530,0.69,70,2,209,4212859,87,1753,1,2259,9241,176,1.9,2,4,6,4.8,95.8,20.3
동작구,노량진1동,9,0,0,0,0,4,17,578,428,0.74,69,28,216,3616194,76,1304,0,1542,10494,156,1.49,3,3,6,5.2,96.5,18.6
동작구,사당2동,15,3,0,0,1,2,5,550,474,0.86,19,7,162,3932019,77,1385,3,1711,8162,173,2.12,0,2,2,6.5,131.0,21.8
관악구,보라매동,0,1,0,0,2,3,3,603,385,0.64,11,0,339,2548046,90,742,0,939,8114,83,1.02,1,0,1,3.0,41.0,13.7
강서구,등촌3동,2,5,1,0,6,10,14,660,461,0.7,58,0,95,3428905,68,1169,0,1413,9184,136,1.48,1,4,5,4.8,80.2,15.3
관악구,삼성동,9,0,0,0,0,4,9,335,214,0.64,23,2,329,2607853,73,822,1,604,5981,46,0.77,1,1,2,3.5,42.0,12.2
관악구,미성동,12,1,0,1,3,7,10,607,482,0.79,31,0,384,2694159,71,808,1,1316,9067,86,0.95,0,1,1,5.0,108.0,21.6
서초구,양재1동,10,2,2,1,2,21,18,1028,789,0.77,145,22,507,4187758,86,1526,5,2732,12289,216,1.76,5,3,8,5.7,92.1,15.1
서초구,양재2동,10,2,0,0,0,12,4,595,424,0.71,97,3,514,3248298,80,1042,8,983,7799,91,1.17,0,1,1,4.0,85.0,21.2
서초구,내곡동,0,0,1,0,1,10,17,1142,674,0.59,42,21,258,3949670,82,1919,3,1433,4667,89,1.91,2,0,2,5.0,58.0,11.5
강남구,세곡동,0,1,1,1,3,20,21,1299,902,0.69,172,6,423,3910359,80,1759,10,3642,11923,268,2.25,5,1,6,5.5,90.7,16.0
금천구,가산동,91,7,1,0,6,3,10,635,378,0.6,196,39,296,2595373,44,850,3,575,10008,93,0.93,0,1,1,4.0,66.0,16.5
송파구,장지동,0,0,1,0,0,10,3,708,640,0.9,60,0,145,3285853,75,1505,1,1964,9160,160,1.75,0,5,5,7.2,172.0,22.2
송파구,위례동,0,0,1,0,1,4,11,1865,1698,0.91,141,10,116,3893769,92,1744,2,6382,7293,335,4.59,5,0,5,6.6,103.4,15.1
서초구,서초2동,58,6,2,1,1,3,6,774,536,0.69,78,0,265,5249873,83,1787,0,2014,6353,180,2.83,0,1,1,0.0,0.0,0.0
관악구,서림동,0,0,0,0,0,4,2,234,156,0.67,24,1,241,2554732,64,966,2,593,10613,61,0.57,1,2,3,3.7,56.7,15.9
송파구,오륜동,0,1,1,3,0,0,2,93,45,0.48,33,0,45,6154886,102,2223,0,1085,4371,36,0.82,1,2,3,5.3,85.3,14.5
강남구,논현1동,32,17,0,0,9,6,5,291,155,0.53,37,0,495,3313735,82,1260,1,550,10031,72,0.72,1,0,1,4.0,49.0,12.2
양천구,신월4동,7,0,1,0,1,5,10,523,394,0.75,31,4,162,2658669,71,680,2,1109,4759,74,1.55,0,3,3,4.3,85.3,19.2
성북구,정릉2동,2,0,1,0,2,1,14,246,181,0.74,38,3,189,2951897,71,954,3,1246,6248,104,1.66,0,0,0,0.0,0.0,0.0
성북구,정릉3동,5,0,0,1,1,1,7,444,245,0.55,10,29,253,2504545,78,644,2,439,4844,55,1.14,1,0,1,3.0,16.0,5.3
성북구,장위3동,0,0,0,0,0,1,6,437,409,0.94,36,0,104,3097882,65,1121,4,1482,3665,83,2.26,1,0,1,4.0,59.0,14.8
종로구,창신3동,0,1,0,0,0,2,4,116,62,0.53,1,0,41,3023324,73,1043,0,294,1956,30,1.53,1,0,1,3.0,32.0,10.7
종로구,숭인1동,22,0,0,0,0,1,4,101,70,0.69,10,0,85,2893985,81,1190,0,202,1567,15,0.96,0,1,1,0.0,0.0,0.0
종로구,숭인2동,35,1,1,0,1,1,3,106,75,0.71,16,3,116,2619079,34,789,1,194,3380,19,0.56,0,0,0,0.0,0.0,0.0
종로구,청운효자동,0,0,2,3,1,1,2,392,215,0.55,64,0,181,3817398,91,835,0,596,3348,44,1.31,1,1,2,3.0,61.0,20.3
종로구,혜화동,7,0,1,4,0,3,6,188,147,0.78,50,0,237,3355042,88,1056,2,512,6460,36,0.56,1,2,3,0.0,0.0,0.0
중구,소공동,87,4,0,7,1,4,1,440,295,0.67,77,0,129,5412533,58,1433,0,147,538,7,1.3,1,0,1,4.0,48.0,12.0
중구,회현동,55,10,0,2,0,1,3,397,198,0.5,60,11,204,4461434,101,1080,1,163,948,13,1.37,0,1,1,0.0,0.0,0.0
중구,명동,130,9,1,2,2,2,1,627,347,0.55,97,17,224,3744534,167,1198,1,59,597,5,0.84,0,0,0,0.0,0.0,0.0
중구,필동,52,0,0,2,0,0,1,79,51,0.65,35,11,160,3041074,61,959,2,139,1263,14,1.11,0,2,2,5.5,132.5,22.8
중구,신당5동,5,0,0,0,0,2,7,292,208,0.71,11,0,146,3046888,48,1319,1,446,2908,53,1.82,0,1,1,4.0,72.0,18.0
용산구,서빙고동,3,1,0,2,0,2,9,264,186,0.7,40,36,58,4229078,121,1941,2,658,3422,49,1.43,1,1,2,3.0,31.5,10.5
용산구,보광동,4,0,0,0,0,0,12,275,148,0.54,19,2,84,2556701,83,2097,1,263,4348,28,0.64,0,1,1,0.0,0.0,0.0
용산구,청파동,29,0,1,2,1,3,4,504,346,0.69,54,2,114,2633730,94,686,3,496,7100,65,0.92,2,0,2,7.0,86.0,12.3
용산구,원효로1동,9,1,1,0,0,2,7,305,269,0.88,26,5,56,4455856,86,1475,0,1094,5392,123,2.28,1,1,2,3.0,55.0,18.3
용산구,한강로동,25,10,0,1,0,4,8,713,590,0.83,95,22,81,4980382,107,1817,2,1231,5836,161,2.76,0,0,0,0.0,0.0,0.0
중구,황학동,14,1,0,0,2,1,3,289,229,0.79,24,0,118,3259918,49,983,0,650,4507,67,1.49,0,0,0,0.0,0.0,0.0
중구,신당동,64,19,1,0,2,0,3,106,91,0.86,66,3,200,2824606,55,1082,3,230,2446,22,0.9,1,0,1,3.0,30.0,10.0
중구,다산동,11,0,2,0,3,2,3,277,157,0.57,19,0,230,2692611,65,584,1,435,4586,42,0.92,1,1,2,6.0,61.0,10.2
중구,약수동,0,2,1,0,2,0,5,459,322,0.7,18,3,81,3914327,68,1167,0,840,4482,69,1.54,0,1,1,7.0,100.0,14.3
양천구,신정1동,1,0,0,0,0,6,19,338,290,0.86,33,0,121,5083754,88,1567,1,1496,4917,48,0.98,0,2,2,5.0,95.0,18.6
중구,청구동,1,0,0,0,0,1,5,180,122,0.68,10,1,134,3583972,69,1586,0,620,4199,78,1.86,0,2,2,3.0,46.5,15.5
양천구,신정4동,13,2,1,0,6,10,5,718,537,0.75,95,6,397,2632898,74,795,1,1145,10442,88,0.84,2,2,4,5.2,71.8,13.2
중구,동화동,0,0,1,0,0,2,6,235,161,0.69,11,0,110,3634791,85,1181,1,571,2915,48,1.65,0,0,0,0.0,0.0,0.0
용산구,이촌1동,3,2,0,0,1,0,10,289,260,0.9,29,6,51,6014542,138,1843,1,2170,6413,118,1.84,0,5,5,5.2,108.4,19.0
용산구,이촌2동,1,0,0,0,0,1,6,174,123,0.71,13,20,35,3610179,61,2285,0,425,2425,49,2.02,0,0,0,0.0,0.0,0.0
용산구,이태원2동,4,0,0,0,0,2,6,129,103,0.8,25,8,67,3276873,99,1330,0,343,2887,28,0.97,0,1,1,7.0,96.0,13.7
성동구,행당1동,5,3,1,0,2,0,11,448,354,0.79,30,4,297,3869155,79,1678,0,848,4510,67,1.49,0,1,1,4.0,70.0,17.5
성동구,행당2동,1,4,0,0,0,2,7,484,356,0.74,16,4,116,4437986,77,1497,0,1559,6706,152,2.27,0,2,2,6.0,140.0,23.3
성동구,응봉동,0,0,0,0,0,3,9,232,129,0.56,7,0,167,3891038,76,1479,0,977,3982,73,1.83,0,1,1,0.0,0.0,0.0
성동구,성수1가2동,3,1,0,0,1,2,8,291,198,0.68,33,0,230,3279767,75,1663,3,600,4692,70,1.49,0,0,0,0.0,0.0,0.0
성동구,성수2가3동,32,1,0,1,2,4,10,274,177,0.65,54,0,311,3378528,77,1459,5,451,3762,43,1.14,1,0,1,3.0,34.0,11.3
성동구,왕십리도선동,17,3,1,0,4,3,13,753,545,0.72,57,0,211,4037265,76,1392,4,1977,8365,131,1.57,1,3,4,3.0,56.5,18.8
마포구,상암동,2,3,0,1,1,14,11,1279,968,0.76,187,6,146,4192808,81,1309,1,1861,8041,93,1.16,3,2,5,6.4,126.8,17.2
마포구,공덕동,1,3,1,0,0,0,16,541,448,0.83,40,1,205,4067302,69,1497,0,1900,11905,150,1.26,2,1,3,4.0,82.3,17.6
금천구,독산1동,35,8,0,0,13,8,26,1201,976,0.81,83,19,357,3019139,70,906,3,2915,13828,319,2.31,2,2,4,5.5,98.8,16.9
성동구,금호2·3가동,9,0,0,0,0,3,13,659,495,0.75,15,3,231,3781300,71,1639,0,1540,6996,153,2.19,1,1,2,3.0,37.0,12.3
광진구,화양동,11,2,0,1,3,4,2,208,142,0.68,32,0,306,2490675,41,1066,1,284,12826,38,0.3,1,1,2,3.0,57.0,19.0
광진구,군자동,11,1,1,1,1,2,4,435,290,0.67,63,0,311,2626714,82,1050,0,645,7647,71,0.93,0,3,3,5.0,94.5,16.3
강서구,등촌1동,3,6,0,0,1,5,18,411,372,0.91,21,0,82,3350959,69,1030,1,1243,9777,179,1.83,0,1,1,6.0,122.0,20.3
광진구,중곡1동,11,0,0,0,0,1,2,163,126,0.77,43,6,181,2558983,67,758,2,565,5612,63,1.12,0,0,0,0.0,0.0,0.0
노원구,상계9동,0,2,0,0,0,3,4,317,260,0.82,30,0,46,2984513,51,1056,0,1050,5793,104,1.8,1,2,3,0.0,0.0,0.0
광진구,중곡2동,9,1,0,0,1,1,3,473,359,0.76,29,0,237,2576212,53,820,2,830,7524,82,1.09,0,1,1,0.0,0.0,0.0
노원구,중계1동,0,2,0,0,0,3,15,423,333,0.79,33,0,55,4657489,76,1173,1,1645,5803,34,0.59,0,2,2,7.0,147.0,21.0
광진구,중곡3동,7,0,1,0,1,1,2,686,494,0.72,47,6,311,2409648,61,904,1,605,5373,71,1.32,1,3,4,3.0,36.0,12.0
광진구,중곡4동,0,1,0,0,0,2,5,628,454,0.72,29,5,327,2542721,79,709,0,1015,8900,89,1.0,1,0,1,3.0,30.0,10.0
광진구,능동,6,0,0,1,2,0,1,193,157,0.81,18,0,212,2870468,89,561,1,432,4766,45,0.94,0,2,2,8.5,191.0,22.4
광진구,구의1동,8,0,0,0,1,1,4,435,312,0.72,18,0,286,2706661,71,1015,1,859,8632,92,1.07,0,2,2,4.0,51.0,12.8
