시군구명,어린이집명,시설 위도(좌표값),시설 경도(좌표값)
용산구,절제어린이집,37.55092073,126.9741571
용산구,새순어린이집,37.5348941342334,126.955191410616
용산구,샘물어린이집,37.5342102717727,126.954594151122
용산구,푸른숲속어린이집,37.53487888,126.9508027
용산구,딩동댕어린이집,37.5349978094381,126.949091822138
용산구,행복한어린이집,37.5339696378575,126.95522925384
용산구,맘앤키즈어린이집,37.53487888,126.9508027
용산구,선인방과후교실어린이집,37.53389122,126.9521087
용산구,아가꿈어린이집,37.53433337,126.95147
용산구,원효어린이집,37.53480088,126.9566433
용산구,용산캐슬어린이집,37.5398174501512,126.963073585923
용산구,푸른꿈어린이집,37.5402393423765,126.958332377708
용산구,꿈꾸는어린이집,37.54166978,126.9612742
용산구,백송어린이집,37.54354693,126.9633574
용산구,대성어린이집,37.54059605,126.958854
용산구,효창방과후어린이집,37.54123427,126.9629821
용산구,효창어린이집,37.53984324,126.9621821
용산구,상록어린이집,37.54095702,126.9583035
용산구,숲속키즈어린이집,37.53643829,126.9591188
용산구,도원삼성어린이집,37.5383072,126.9552593
용산구,참나무방과후 어린이집,37.53871489,126.9581627
용산구,새랑꿈이랑 어린이집,37.5383072,126.9552593
용산구,새날어린이집,37.5383072,126.9552593
용산구,도원어린이집,37.53825626,126.9585708
용산구,서머힐어린이집,37.5291083519578,126.993673571741
용산구,하랑어린이집,37.530752957228,126.994756127183
용산구,용산구청직장어린이집,37.53244208,126.9903466
용산구,이태원삼성어린이집,37.53532514,126.9953858
용산구,사무엘 어린이집,37.53458993,126.9902135
성동구,구립 이편한세상금호어린이집,37.5553227446624,127.022606340657
성동구,구립 벽산어린이집,37.5553933612572,127.025373448555
성동구,으뜸꼬마숲어린이집,37.5490462652336,127.027453508533
성동구,엘림몬테소리어린이집,37.5505238920891,127.027499316861
성동구,코알라 베이비 어린이집,37.55192909,127.0271854
성동구,꼬마에디슨 어린이집,37.55192909,127.0271854
성동구,해담솔 어린이집,37.55192909,127.0271854
성동구,본향어린이집,37.55757731,127.0229887
성동구,구립 금일어린이집,37.55368497,127.0248605
성동구,구립 대현어린이집,37.55486873,127.0216773
성동구,구립 금봉어린이집,37.55361447,127.0277837
성동구,구립 힐스테이트서울숲리버어린이집,37.5467040992,127.0255334536
성동구,구립 서울숲어린이집,37.5462359400747,127.023808744265
성동구,예인꼬마숲어린이집,37.546968871885,127.024058479386
성동구,토토어린이집,37.5468810020801,127.024071481562
성동구,푸르지오 어린이집,37.5459458,127.0195147
성동구,서울숲미래연 어린이집,37.54472037,127.0223384
성동구,하니삐아제 어린이집,37.5459458,127.0195147
성동구,구립 금사어린이집,37.54715933,127.022319
성동구,구립 트리마제어린이집,37.5392561544,127.0446711778
성동구,구립 빛초롱어린이집,37.54034501,127.0450335
성동구,구립 성원어린이집,37.54188615,127.0496567
성동구,별초롱 어린이집,37.53974058,127.0472851
성동구,구립 진터마루어린이집,37.53871802,127.0474124
성동구,개나리동산어린이집,37.53811167,127.0483129
성동구,구립 성이어린이집,37.536458651726,127.055092393669
성동구,이마트어린이집,37.5400204028534,127.052908955709
