상호,주소,자치구,법정동,lat,lng
경서에너지 공항로충전소,서울특별시 강서구 등촌동  534번지 12호  ,강서구,등촌동,126.8596180,37.5530697
홍익에너지(주),서울특별시 송파구 석촌동  183번지 1호  ,송파구,석촌동,127.1031008,37.5078636
대흥상공(주),서울특별시 강서구 화곡동  898번지 3호  ,강서구,화곡동,126.8471804,37.5303673
(주)세지,서울특별시 영등포구 문래동6가  1-3번지  ,영등포구,문래동6가,126.8884847,37.5175094
복지장안충전소,서울특별시 동대문구 답십리동  1번지 478호  ,동대문구,답십리동,127.0670794,37.5744346
황금충전소,서울특별시 중랑구 중화동  208번지 11호  ,중랑구,중화동,127.0764612,37.5946527
(주)상현상사,서울특별시 강남구 논현동  207번지  ,강남구,논현동,127.0312569,37.5137796
중앙에너비스(주)삼중가스지점,서울특별시 금천구 독산동  1059번지  ,금천구,독산동,126.8983381,37.4618555
한영가스충전소,서울특별시 도봉구 쌍문동  715번지 1호  ,도봉구,쌍문동,127.0410602,37.6607978
복지강북충전소,서울특별시 도봉구 창동  643번지 2호  ,도봉구,창동,127.0329145,37.6442380
(주)진양가스,서울특별시 강남구 도곡동  552번지 5호  ,강남구,도곡동,127.0353395,37.4904431
동일석유(주)동주충전소,서울특별시 동작구 대방동  334번지  ,동작구,대방동,126.9288439,37.4994656
명화가스(주),서울특별시 관악구 봉천동  1594번지 8호  ,관악구,봉천동,126.9532216,37.4744176
개봉충전소,서울특별시 구로구 개봉동  175번지 16호  ,구로구,개봉동,126.8597711,37.4954941
남서울가스(주),서울특별시 강남구 대치동  21번지 1호  ,강남구,대치동,127.0755623,37.4978036
비자인터내셔날(주) 암사충전소,서울특별시 강동구 암사동  503번지 30호  GS칼텍스,강동구,암사동,127.1276006,37.5525668
삼영가스,서울특별시 구로구 개봉동  325번지 18호  ,구로구,개봉동,126.8538389,37.4930007
연일가스산업(주),서울특별시 서대문구 북가좌동  392번지 27호  ,서대문구,북가좌동,126.9036394,37.5758654
한양에너지(주),서울특별시 광진구 중곡동  237번지 8호  ,광진구,중곡동,127.0772418,37.5661290
동일석유(주)남부충전,서울특별시 강남구 대치동  50번지 8호  ,강남구,대치동,127.0704042,37.4971582
(주)청학에너지,서울특별시 강북구 번동  267번지  ,강북구,번동,127.0440046,37.6282362
풍림에너지,서울특별시 중랑구 면목동  169번지 6   호  ,중랑구,면목동,127.0792919,37.5799578
기린에너지,서울특별시 영등포구 양평동4가  158번지  ,영등포구,양평동4가,126.8992747,37.5360546
(주)해양가스,서울특별시 광진구 자양동  628번지 19호  ,광진구,자양동,127.0833906,37.5345864
우일에너지(주),서울특별시 성북구 하월곡동  88번지 681호  ,성북구,하월곡동,127.0308842,37.6072590
