행정동,월평균소득금액
서초1동,4811809.315789473
서초2동,5249873.47368421
서초3동,4731537.7894736845
서초4동,6518537.368421053
석관동,2858120.736842105
석촌동,2945267.263157895
성내1동,3464859.5263157897
성내2동,2835156.263157895
성내3동,2921629.736842105
성북동,3501359.6842105263
성산1동,2836873.1578947366
성산2동,3554997.789473684
성수1가1동,3895002.789473684
성수1가2동,3279767.6315789474
성수2가1동,2926007.4736842103
성수2가3동,3378528.8947368423
성현동,3483573.263157895
세곡동,3910359.052631579
소공동,5412533.052631579
송정동,2583422.8947368423
송중동,2571061.5263157897
송천동,2456559.6842105263
송파1동,3156460.1052631577
송파2동,4388013.631578947
수궁동,2700019.4736842103
수색동,3258020.1052631577
수서동,3855339.263157895
수유1동,2229607.4736842103
수유2동,2594901.736842105
수유3동,2221860.6315789474
숭인1동,2893985.210526316
숭인2동,2619079.052631579
시흥1동,2788702.1578947366
시흥2동,3201731.6315789474
시흥3동,2528235.3684210526
시흥4동,2419264.0
시흥5동,2387416.4210526315
신길1동,2802338.8947368423
신길3동,3076031.4736842103
신길4동,2730472.4736842103
신길5동,2660632.6842105263
신길6동,2981955.3157894737
신길7동,3641547.736842105
신내1동,2798343.052631579
신내2동,3092303.8947368423
신당5동,3046888.0
신당동,2824606.5789473685
신대방1동,3864071.052631579
신대방2동,3379548.4210526315
신도림동,4406430.631578947
신림동,2465724.8421052634
신사1동,2653534.210526316
신사2동,2654016.8421052634
신사동,3799240.9210526315
신수동,4157619.5263157897
신원동,2426266.8947368423
신월1동,2242859.1578947366
신월2동,2749382.5263157897
신월3동,2165452.052631579
신월4동,2658669.210526316
신월5동,2629758.4736842103
신월6동,2861120.052631579
신월7동,2355515.263157895
신정1동,5083754.421052632
신정2동,4749748.736842105
신정3동,3179649.789473684
신정4동,2632898.5263157897
신정6동,5422674.947368421
신정7동,4105140.8421052634
신촌동,3357577.789473684
쌍문1동,2458780.5263157897
쌍문2동,2445353.5789473685
쌍문3동,2458777.052631579
쌍문4동,2983010.5789473685
아현동,5251272.52631579
안암동,2917634.736842105
암사1동,2869280.5263157897
암사2동,3716364.263157895
암사3동,4493691.052631579
압구정동,5869439.052631579
약수동,3914327.3157894737
양재1동,4187758.8421052634
양재2동,3248298.5263157897
양평1동,3521740.8421052634
양평2동,3692092.1578947366
여의동,5641422.421052632
역삼1동,3629382.1052631577
역삼2동,5414467.47368421
역촌동,2538605.3157894737
연남동,2995039.1578947366
연희동,3407515.6315789474
염리동,3981720.6842105263
염창동,4149403.210526316
영등포동,3602238.8947368423
영등포본동,3302786.947368421
오금동,3535896.8947368423
오류1동,2601216.8947368423
오류2동,2797426.3157894737
오륜동,6154886.368421053
옥수동,4857859.47368421
왕십리2동,3487691.736842105
왕십리도선동,4037265.947368421
용강동,4801843.631578947
용답동,2489153.6842105263
용문동,3584571.1052631577
용산2가동,2552190.789473684
용신동,2913220.3157894737
우이동,2472202.736842105
우장산동,4160862.3157894737
원효로1동,4455856.263157895
원효로2동,3838877.210526316
월계1동,2799550.8947368423
월계2동,2744711.263157895
월계3동,3139270.5263157897
월곡1동,3312141.4736842103
월곡2동,3161249.3157894737
위례동,3893769.8421052634
은천동,3094988.3157894737
을지로동,3041933.789473684
응봉동,3891038.4210526315
응암1동,2744076.6315789474
응암2동,3523843.210526316
응암3동,2377758.0
이문1동,2980528.210526316
이문2동,3163719.1578947366
이촌1동,6014542.7894736845
이촌2동,3610179.5263157897
이태원1동,3691173.736842105
이태원2동,3276873.5263157897
이화동,3052155.947368421
인수동,2371068.052631579
인헌동,2814313.052631579
일원1동,3033658.5263157897
일원2동,4541155.0
일원본동,5465517.315789473
자양1동,2756172.3684210526
자양2동,3018829.8421052634
자양3동,4391943.263157895
자양4동,2800761.210526316
잠실2동,6380748.631578947
잠실3동,5471680.52631579
잠실4동,5970352.0
잠실6동,5270661.0
잠실7동,6053210.47368421
잠실본동,3107117.736842105
잠원동,5491700.842105263
장안1동,2880343.1578947366
장안2동,2949910.052631579
장위1동,2245938.8947368423
장위2동,2398143.6842105263
장위3동,3097882.052631579
장지동,3285853.789473684
장충동,2923569.5789473685
전농1동,3073126.8947368423
전농2동,3158030.8421052634
정릉1동,3356520.210526316
정릉2동,2951897.6842105263
정릉3동,2504545.947368421
정릉4동,3060802.052631579
