사업종류,상호,주소,자치구,법정동
충전사업,한영충전소,서울특별시 도봉구 쌍문동  715번지 1호  ,도봉구,쌍문동
판매사업,강남가스,서울특별시 강남구 역삼동  796번지 20호  ,강남구,역삼동
판매사업,영동금성가스,서울특별시 강남구 논현동  156번지 10호  ,강남구,논현동
판매사업,강남제일가스,서울특별시 강남구 청담동  13번지 17호  ,강남구,청담동
판매사업,케이원에너지,서울특별시 송파구 석촌동  69번지 23호  ,송파구,석촌동
판매사업,한일가스,서울특별시 강서구 공항동  404번지 20호  ,강서구,공항동
판매사업,SK가스,서울특별시 송파구 석촌동  58번지 24호  ,송파구,석촌동
판매사업,우리에너지,서울특별시 종로구 누하동  22번지 외3필지번지  ,종로구,누하동
판매사업,동양가스,서울특별시 강동구 천호동  450번지 23호  ,강동구,천호동
판매사업,(주)우리가스,서울특별시 종로구 충신동  91번지 7호  린나,종로구,충신동
충전사업,오승프라임산업(주),"서울특별시 구로구 궁동  1-16,2번지  ",구로구,궁동
판매사업,하나가스,서울특별시 마포구 대흥동  3번지 56호  ,마포구,대흥동
판매사업,광진가스,서울특별시 광진구 자양동  660번지 2호  ,광진구,자양동
판매사업,(주)서초종합가스지점서초가스,서울특별시 서초구 양재동  292번지 3호  ,서초구,양재동
판매사업,동양가스,서울특별시 성동구 금호동4가  258번지 1호  ,성동구,금호동4가
판매사업,동양가스,서울특별시 동작구 사당동  89번지 52호  ,동작구,사당동
판매사업,그린에너지,서울특별시 중구 무학동  7번지 1호  ,중구,무학동
판매사업,영등포제6가스,서울특별시 영등포구 영등포동1가  119번지  ,영등포구,영등포동1가
판매사업,선경가스,서울특별시 송파구 풍납동  124번지 11호  ,송파구,풍납동
충전사업,(주)삼표에너지 수색충전소,서울특별시 은평구 증산동  223번지 15호  ,은평구,증산동
판매사업,동방에너지,서울특별시 구로구 구로동  685번지 122호  ,구로구,구로동
판매사업,대성가스,서울특별시 송파구 잠실동  187번지 5호  ,송파구,잠실동
판매사업,모닝가스상사,서울특별시 양천구 신월동  1번지 14호  ,양천구,신월동
판매사업,금강가스,서울특별시 송파구 문정동  91번지 14호  ,송파구,문정동
판매사업,부흥가스,서울특별시 마포구 중동  45번지 2호  ,마포구,중동
판매사업,우리가스,서울특별시 양천구 신정동  162번지 1호  ,양천구,신정동
판매사업,안전가스,서울특별시 도봉구 창동  596번지 21호  ,도봉구,창동
판매사업,한일가스,서울특별시 중구 충무로5가  20번지 10호  ,중구,충무로5가
판매사업,남산가스,서울특별시 중구 쌍림동  209번지  ,중구,쌍림동
판매사업,세영가스,서울특별시 중구 만리동1가  62번지 21호  ,중구,만리동1가
판매사업,한성가스,서울특별시 중구 황학동  1101번지  ,중구,황학동
판매사업,삼오가스,서울특별시 종로구 안국동  4번지  ,종로구,안국동
판매사업,새한가스,서울특별시 마포구 성산동  200번지 20호  ,마포구,성산동
판매사업,태성중앙가스,서울특별시 마포구 구수동  377번지 1호  ,마포구,구수동
판매사업,금성가스,서울특별시 구로구 구로동  390번지 157호  ,구로구,구로동
판매사업,통일가스,서울특별시 성동구 마장동  767번지 41호  ,성동구,마장동
판매사업,한양가스,서울특별시 종로구 관수동  130번지 1호  ,종로구,관수동
판매사업,제일가스,서울특별시 동대문구 전농동  582번지 10호  ,동대문구,전농동
판매사업,대성에너지(가스),서울특별시 중랑구 면목동  118번지 17호  ,중랑구,면목동
판매사업,대흥가스,서울특별시 강서구 화곡동  1013번지 14호  ,강서구,화곡동
판매사업,현대가스,서울특별시 강서구 화곡동  373번지 6호  ,강서구,화곡동
판매사업,SK가스,서울특별시 강동구 성내동  442번지 2호  ,강동구,성내동
판매사업,상암가스,서울특별시 마포구 상암동  16-3번지  ,마포구,상암동
판매사업,린나이 가스 마트,서울특별시 노원구 상계동  399번지 3호  ,노원구,상계동
판매사업,신봉가스,서울특별시 관악구 봉천동  892번지 30호  ,관악구,봉천동
판매사업,강남가스,서울특별시 동작구 상도1동  373번지  ,동작구,상도1동
판매사업,현대가스,서울특별시 강동구 명일동  312번지 1호  ,강동구,명일동
판매사업,신성가스,서울특별시 서대문구 충정로3가  3번지 378호  ,서대문구,충정로3가
판매사업,대림가스,서울특별시 서대문구 북가좌동  340번지 11호  ,서대문구,북가좌동
판매사업,제사가스,서울특별시 강북구 미아동  1265번지 27호  ,강북구,미아동
판매사업,우리동네가스,서울특별시 강북구 수유동  47번지 49호  ,강북구,수유동
판매사업,용우가스,서울특별시 강북구 수유동  573번지 6호  ,강북구,수유동
판매사업,제일가스,서울특별시 강북구 미아동  374번지 39호  ,강북구,미아동
판매사업,린나이가스,서울특별시 강북구 번동  429번지 46호  ,강북구,번동
판매사업,서울가스,서울특별시 동대문구 용두동  103번지 0010호  ,동대문구,용두동
판매사업,유공가스,서울특별시 노원구 월계동  375번지 2호  ,노원구,월계동
충전사업,(주)삼표에너지김포충전소,서울특별시 강서구 오쇠동  150번지 5호  ,강서구,오쇠동
판매사업,유공가스,서울특별시 종로구 충신동  82번지 2호  ,종로구,충신동
판매사업,신영가스,서울특별시 종로구 신영동  128번지 2호  ,종로구,신영동
판매사업,우일가스,서울특별시 종로구 창신동  406번지 6호  ,종로구,창신동
판매사업,강동서울가스,서울특별시 강동구 성내동  542번지 1호  ,강동구,성내동
