노드 유형 코드,시군구코드,시군구명,읍면동코드,읍면동명,육교,Longitude,Latitude
0.0,1153000000,구로구,1153010100,신도림동,1,126.87847427801633,37.51128985039067
0.0,1153000000,구로구,1153010100,신도림동,1,126.87765039382498,37.51178329579638
0.0,1153000000,구로구,1153010100,신도림동,1,126.87724336299162,37.511339628619915
0.0,1153000000,구로구,1153010100,신도림동,1,126.87509960897778,37.50716664697411
0.0,1153000000,구로구,1153010100,신도림동,1,126.87518803530266,37.507121331419285
0.0,1153000000,구로구,1153010200,구로동,1,126.87629018190567,37.48958450756714
0.0,1153000000,구로구,1153010200,구로동,1,126.88180950015169,37.501443868851425
0.0,1153000000,구로구,1153010700,개봉동,1,126.84554382503585,37.4991604939599
0.0,1153000000,구로구,1153010200,구로동,1,126.86930670597958,37.499682001512824
0.0,1153000000,구로구,1153010800,오류동,1,126.84108984537434,37.49911339257629
0.0,1153000000,구로구,1153011000,온수동,1,126.82065712475134,37.49075854994133
0.0,1153000000,구로구,1153010700,개봉동,1,126.84611753838423,37.498313333463386
0.0,1153000000,구로구,1153010800,오류동,1,126.83931660141914,37.496875076698764
0.0,1153000000,구로구,1153010800,오류동,1,126.83956061368868,37.496939487865454
3.0,1153000000,구로구,1153010800,오류동,1,126.84059406067313,37.49316820367191
0.0,1153000000,구로구,1153010200,구로동,1,126.87104327475458,37.49672508722204
0.0,1153000000,구로구,1153010200,구로동,1,126.87085389179742,37.49500203051439
0.0,1153000000,구로구,1153010600,고척동,1,126.86897418665859,37.49931793985277
0.0,1153000000,구로구,1153010100,신도림동,1,126.8762398339498,37.51014220748754
2.0,1153000000,구로구,1153010200,구로동,1,126.87442957520001,37.49963349870001
0.0,1153000000,구로구,1153010200,구로동,1,126.87471040487354,37.49965176032285
0.0,1153000000,구로구,1153010200,구로동,1,126.87460105253062,37.49977064911577
0.0,1153000000,구로구,1153011000,온수동,1,126.82077284100124,37.49099442120961
0.0,1153000000,구로구,1153010600,고척동,1,126.85606326012703,37.50103489765642
0.0,1153000000,구로구,1153010900,궁동,1,126.83152910472738,37.493505945212014
0.0,1153000000,구로구,1153010900,궁동,1,126.83169599363015,37.493372302584945
0.0,1153000000,구로구,1153010200,구로동,1,126.8760753189164,37.489640476216515
0.0,1153000000,구로구,1153010200,구로동,1,126.87588234071178,37.4890623711571
0.0,1153000000,구로구,1153010700,개봉동,1,126.850334976655,37.48246706005483
0.0,1153000000,구로구,1153010800,오류동,1,126.83427158445203,37.49291737439172
0.0,1153000000,구로구,1153010900,궁동,1,126.8315939455349,37.49353288844586
0.0,1153000000,구로구,1153010900,궁동,1,126.83133584955273,37.49345404203265
0.0,1153000000,구로구,1153010200,구로동,1,126.87589966567619,37.489246935017114
0.0,1153000000,구로구,1153010600,고척동,1,126.86912992609741,37.4997364571891
0.0,1153000000,구로구,1153010200,구로동,1,126.89274490947682,37.5021220692492
0.0,1153000000,구로구,1153010200,구로동,1,126.89422669719643,37.494678368505056
0.0,1153000000,구로구,1153010600,고척동,1,126.84917195209495,37.50814774879347
0.0,1153000000,구로구,1153010800,오류동,1,126.8264151377138,37.49039808976942
0.0,1153000000,구로구,1153010800,오류동,1,126.82615754593068,37.490254901231935
0.0,1153000000,구로구,1153010800,오류동,1,126.83692164058024,37.492710515052785
0.0,1153000000,구로구,1153010900,궁동,1,126.83128589508948,37.4932913399039
0.0,1153000000,구로구,1153011000,온수동,1,126.82370300377424,37.49259283487618
0.0,1153000000,구로구,1153011000,온수동,1,126.82423684028589,37.49275955057589
0.0,1153000000,구로구,1153011200,항동,1,126.82333220407669,37.47685958456897
0.0,1153000000,구로구,1153010900,궁동,1,126.83122449285018,37.49357531137464
0.0,1153000000,구로구,1153010700,개봉동,1,126.85031165074467,37.48264324964748
2.0,1153000000,구로구,1153010800,오류동,1,126.8336420564396,37.493149922291224
