지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 동대문구 이문동 101-39,동양석유,일반판매소,205870.721417915,455195.9389813,동대문구,이문동
서울특별시 동대문구 제기동 135-58,(주)한솔에너지,일반판매소,203113.394536196,453824.476091662,동대문구,제기동
서울특별시 동대문구 제기동 135-152,주식회사 미래에너지,일반판매소,203122.450941897,453822.477847198,동대문구,제기동
서울특별시 광진구 중곡동 150-212,한전석유,일반판매소,207533.960128014,450859.748296195,광진구,중곡동
서울특별시 광진구 중곡동 187-26,(주) 동화오일,일반판매소,206971.027874234,451895.139121392,광진구,중곡동
서울특별시 동대문구 휘경동 43-79,열린주유소,주유소,205903.356713794,453543.412905266,동대문구,휘경동
서울특별시 영등포구 당산동 121-106,버드나룻길주유소,주유소,191786.727629467,447312.65513159,영등포구,당산동
서울특별시 동대문구 신설동 39-1,수정석유,일반판매소,202193.511960331,452850.635601944,동대문구,신설동
서울특별시 영등포구 문래동3가 8-17,(주)지에스이앤알 모드니주유소,주유소,191163.996933784,445841.442864865,영등포구,문래동3가
서울특별시 동대문구 전농동 26-5 ,재정주유소,주유소,205004.411927517,452602.634401546,동대문구,전농동
서울특별시 동대문구 이문동 97-7 15 ,동서울고속주유소,주유소,205938.507488273,455027.043547087,동대문구,이문동
서울특별시 영등포구 양평동4가 159-1,SK에너지(주) 기린주유소,주유소,190992.043169641,448226.051690401,영등포구,양평동4가
서울특별시 중랑구 면목동 132-21 ,경동에너지 판매,일반판매소,207375.431284156,454422.111811383,중랑구,면목동
서울특별시 중랑구 중화동 275-14 2통5반 3층 ,금호티엔씨,용제판매소,207180.865372091,455899.403891159,중랑구,중화동
서울특별시 중랑구 상봉동 129-35 ,동부석유,일반판매소,206799.803684961,454577.218987322,중랑구,상봉동
서울특별시 중랑구 중화동 322-1 ,로이에너지,일반판매소,206377.995331013,454925.007646142,중랑구,중화동
서울특별시 중랑구 중화동 290-28 ,등대에너지,일반판매소,207228.607036559,455326.495942439,중랑구,중화동
서울특별시 중랑구 중화동 330-60 ,대성석유,일반판매소,206487.403526021,455290.45664139,중랑구,중화동
서울특별시 중랑구 면목동 179-37,OK에너지,일반판매소,206922.223631069,453960.354949615,중랑구,면목동
서울특별시 용산구 서계동 47-15,서계주유소,주유소,197186.302871541,450007.264946026,용산구,서계동
서울특별시 중랑구 중화동 307-25 ,명화에너지,일반판매소,206817.704551959,455778.555965735,중랑구,중화동
서울특별시 중랑구 면목동 528 19통4반,용마로주유소,주유소,208073.001645036,453068.290387442,중랑구,면목동
서울특별시 중랑구 망우동 523-4,신일주유소,주유소,208215.309352704,454296.43536491,중랑구,망우동
서울특별시 성북구 돈암동 627-1 ,태광석유,일반판매소,202119.173730369,455433.922332307,성북구,돈암동
서울특별시 중랑구 면목동 169-0003,오천만주유소,주유소,206937.932562759,452983.43736388,중랑구,면목동
서울특별시 성북구 정릉동 199-16 ,충남석유,일반판매소,201124.879035899,455997.51632351,성북구,정릉동
서울특별시 성북구 석관동 278-32 ,석관석유,일반판매소,205290.619713896,456417.848122693,성북구,석관동
서울특별시 성북구 안암동1가 354 ,유공에너지판매,일반판매소,201982.498747018,454046.175908706,성북구,안암동1가
서울특별시 성북구 정릉동 463-8 ,바다석유,일반판매소,200828.962448344,455810.033301954,성북구,정릉동
서울특별시 성북구 석관동 118-8,현대석유,일반판매소,205741.992335686,456584.920595344,성북구,석관동
서울특별시 성북구 장위동 75-114 ,신용석유,일반판매소,204523.245428022,456951.239563471,성북구,장위동
서울특별시 성북구 상월곡동 23-94,지에스칼텍스(주)화랑주유소,주유소,204409.424331059,456179.835348379,성북구,상월곡동
서울특별시 성북구 하월곡동 18-11 ,장위주유소,주유소,203796.074469623,455698.743623138,성북구,하월곡동
서울특별시 성북구 안암동5가 82-1 ,신방주유소,주유소,202743.209062165,453695.094107578,성북구,안암동5가
서울특별시 성북구 정릉동 401-15 원천제1주유소 ,이케이에너지(주) 강산제2주유소,주유소,200816.198963081,456317.270059007,성북구,정릉동
서울특별시 성북구 하월곡동 76-57 ,동네에너지,일반판매소,203118.596226022,456161.625741066,성북구,하월곡동
서울특별시 성북구 보문동1가 9-3 ,(주)성북주유소,주유소,201559.706147139,453919.153093607,성북구,보문동1가
서울특별시 성북구 정릉동 404-4,(주)삼표에너지 정릉주유소,주유소,200808.915165097,456146.06908592,성북구,정릉동
서울특별시 성북구 종암동 10-15 ,(주)중앙에너비스 종암지점,주유소,203113.885192605,454810.948413355,성북구,종암동
서울특별시 성북구 하월곡동 67-50 효성주유소 ,(주)명연에너지 효성주유소,주유소,203036.335305541,455645.507124695,성북구,하월곡동
서울특별시 성북구 삼선동1가 12-1 ,삼선주유소,주유소,200422.723883879,453964.674296826,성북구,삼선동1가
서울특별시 성북구 길음동 1132-2 ,(주)재건에너지 재정제2주유소 길음지점,주유소,201938.687020735,456439.338552758,성북구,길음동
서울특별시 강북구 미아동 746-3 879-5,SK에너지(주) 매일주유소,주유소,201619.793081362,457828.250285982,강북구,미아동
서울특별시 성북구 장위동 231-198,(주)오만불 신동방주유소,주유소,203294.771453709,456788.931001958,성북구,장위동
서울특별시 성북구 장위동 219-43,SK에너지(주) 드림랜드주유소,주유소,203589.605308744,457138.9361293,성북구,장위동
서울특별시 성북구 장위동 75-604,원천주유소,주유소,204586.173111323,456952.217251606,성북구,장위동
서울특별시 성북구 종암동 3-545,지에스칼텍스(주)종암주유소,주유소,202761.798881633,455604.95528121,성북구,종암동
서울특별시 강북구 미아동 54-79 ,동성석유,일반판매소,202840.129478215,456759.909255753,강북구,미아동
서울특별시 동대문구 제기동 136-237,풍한주유소,주유소,203111.040081449,454105.546246125,동대문구,제기동
서울특별시 성북구 보문동5가 146-7,동일주유소,주유소,201730.657497999,453408.56070346,성북구,보문동5가
서울특별시 강서구 마곡동 742-1,타이어뱅크 주식회사,주유소,,,강서구,마곡동
서울특별시 강북구 미아동 745-20 22통8반 ,삼정에너지,일반판매소,201644.98316348,457764.525960592,강북구,미아동
서울특별시 강북구 미아동 135-13 ,주식회사 지에스이앤알 미아주유소,주유소,202558.862047,457836.470234,강북구,미아동
서울특별시 강북구 수유동 56-101 ,대진석유,일반판매소,201748.06940785,458795.429447766,강북구,수유동
서울특별시 강북구 미아동 197-14 외 1필지,씨앤에스유통(주) 직영 미아셀프주유소,주유소,202269.839135169,458242.559935262,강북구,미아동
서울특별시 도봉구 방학동 668-10,지에스칼텍스(주) 방학동주유소,주유소,202707.794159647,462225.208428241,도봉구,방학동
서울특별시 도봉구 방학동 622-25 ,합동석유,일반판매소,203173.997755357,463003.926756581,도봉구,방학동
서울특별시 도봉구 도봉동 561-6,지에스칼텍스(주) 도봉주유소,주유소,203957.909706298,464665.364497122,도봉구,도봉동
서울특별시 도봉구 도봉동 629,노원교주유소,주유소,204316.826735421,464065.255438814,도봉구,도봉동
