행정동,0~4세,5~9세,0~9세
수궁동,480,641,1121
가리봉동,78,97,175
구로2동,277,337,614
개봉1동,1013,939,1952
오류2동,794,1319,2113
항동,935,1506,2441
가산동,317,258,575
독산1동,1464,1451,2915
독산2동,279,415,694
독산3동,366,402,768
독산4동,217,263,480
시흥1동,595,801,1396
시흥2동,477,709,1186
시흥3동,159,245,404
시흥4동,289,463,752
시흥5동,317,397,714
여의동,905,1434,2339
당산1동,550,425,975
당산2동,1130,1246,2376
양평1동,633,524,1157
양평2동,798,676,1474
신길1동,346,387,733
신길3동,444,569,1013
신길4동,343,426,769
신길5동,276,379,655
신길6동,421,514,935
신길7동,780,1103,1883
대림1동,311,372,683
대림2동,161,188,349
대림3동,476,459,935
영등포본동,527,616,1143
영등포동,597,500,1097
도림동,434,381,815
문래동,1245,1601,2846
노량진2동,82,116,198
상도1동,860,1249,2109
상도2동,939,1197,2136
상도3동,368,494,862
상도4동,514,667,1181
사당1동,279,324,603
사당3동,674,1052,1726
사당4동,240,313,553
사당5동,414,427,841
대방동,557,1066,1623
신대방1동,497,781,1278
신대방2동,632,817,1449
흑석동,899,1360,2259
노량진1동,739,803,1542
사당2동,769,942,1711
보라매동,364,575,939
청림동,521,517,1038
행운동,373,486,859
낙성대동,207,291,498
중앙동,153,184,337
인헌동,390,445,835
남현동,339,386,725
서원동,242,253,495
신원동,163,213,376
서림동,234,359,593
신사동,211,317,528
신림동,128,128,256
난향동,317,526,843
조원동,360,327,687
대학동,247,278,525
은천동,665,913,1578
성현동,605,952,1557
청룡동,498,541,1039
난곡동,333,519,852
삼성동,229,375,604
미성동,501,815,1316
서초1동,472,649,1121
서초2동,826,1188,2014
서초3동,673,845,1518
서초4동,718,1748,2466
잠원동,595,1135,1730
반포본동,3,11,14
반포1동,904,2009,2913
반포2동,780,1408,2188
반포3동,697,1152,1849
반포4동,549,876,1425
방배본동,364,848,1212
방배1동,362,572,934
방배2동,401,533,934
방배3동,429,644,1073
방배4동,461,818,1279
양재1동,1161,1571,2732
양재2동,456,527,983
내곡동,558,875,1433
신사동,317,515,832
개포3동,390,628,1018
논현1동,264,286,550
논현2동,346,514,860
삼성1동,261,392,653
삼성2동,721,1264,1985
대치1동,292,1238,1530
대치4동,212,378,590
역삼1동,424,393,817
역삼2동,619,1554,2173
도곡1동,505,900,1405
도곡2동,702,1710,2412
개포1동,283,565,848
개포4동,710,845,1555
일원본동,571,1183,1754
일원1동,252,325,577
수서동,298,224,522
세곡동,1518,2124,3642
압구정동,665,1123,1788
청담동,615,1044,1659
대치2동,614,1590,2204
개포2동,1451,2180,3631
풍납1동,264,279,543
풍납2동,699,861,1560
거여1동,229,261,490
거여2동,778,993,1771
마천1동,285,388,673
마천2동,254,318,572
방이1동,310,575,885
방이2동,453,474,927
오륜동,300,785,1085
오금동,904,1361,2265
송파1동,439,504,943
송파2동,471,767,1238
석촌동,590,636,1226
삼전동,482,602,1084
가락본동,648,706,1354
가락1동,1330,1673,3003
가락2동,742,1297,2039
문정1동,471,582,1053
문정2동,675,772,1447
잠실본동,442,509,951
잠실4동,721,1533,2254
잠실6동,443,794,1237
잠실7동,198,336,534
잠실2동,928,2361,3289
잠실3동,815,1730,2545
장지동,905,1059,1964
위례동,2712,3670,6382
명일1동,918,1106,2024
명일2동,280,653,933
고덕1동,554,1629,2183
고덕2동,943,1461,2404
암사2동,582,559,1141
암사3동,519,995,1514
천호1동,558,570,1128
천호3동,585,547,1132
성내1동,598,717,1315
성내2동,424,419,843
성내3동,404,577,981
둔촌2동,690,830,1520
암사1동,721,990,1711
천호2동,705,742,1447
길동,900,1110,2010
강일동,1461,1625,3086
상일1동,1552,2965,4517
상일2동,526,476,1002
