자치구,행정동,23년 출생인구
동작구,노량진1동,156
동작구,노량진2동,16
동작구,상도1동,176
동작구,상도2동,155
동작구,상도3동,70
동작구,상도4동,116
동작구,사당1동,90
동작구,사당2동,173
동작구,사당3동,104
동작구,사당4동,56
동작구,사당5동,97
동작구,대방동,98
동작구,신대방1동,107
동작구,신대방2동,146
동작구,흑석동,176
관악구,남현동,85
관악구,보라매동,83
관악구,청림동,109
관악구,행운동,79
관악구,낙성대동,68
관악구,중앙동,33
관악구,인헌동,66
관악구,서원동,64
관악구,신원동,41
관악구,서림동,61
관악구,신사동,40
관악구,신림동,31
관악구,난향동,41
관악구,조원동,89
관악구,대학동,59
관악구,은천동,136
관악구,성현동,114
관악구,청룡동,102
관악구,난곡동,56
관악구,삼성동,46
관악구,미성동,86
서초구,서초1동,107
서초구,서초2동,180
서초구,서초3동,141
서초구,서초4동,97
서초구,잠원동,94
서초구,반포본동,0
서초구,반포1동,125
서초구,반포2동,69
서초구,반포3동,112
서초구,반포4동,94
서초구,방배본동,49
서초구,방배1동,83
서초구,방배2동,99
서초구,방배3동,61
서초구,방배4동,90
서초구,양재1동,216
서초구,양재2동,91
서초구,내곡동,89
강남구,신사동,67
강남구,개포3동,98
강남구,논현1동,72
강남구,논현2동,94
강남구,삼성1동,63
강남구,삼성2동,130
강남구,대치1동,30
강남구,대치4동,53
강남구,역삼1동,153
강남구,역삼2동,106
강남구,도곡1동,84
강남구,도곡2동,106
강남구,개포1동,24
강남구,개포4동,162
강남구,일원본동,109
강남구,일원1동,66
강남구,수서동,92
강남구,세곡동,268
강남구,압구정동,121
강남구,청담동,103
강남구,대치2동,89
강남구,개포2동,260
송파구,풍납1동,60
송파구,풍납2동,118
송파구,거여1동,46
송파구,거여2동,166
송파구,마천1동,45
송파구,마천2동,51
송파구,방이1동,57
송파구,방이2동,111
송파구,오륜동,36
송파구,오금동,161
송파구,송파1동,123
송파구,송파2동,83
송파구,석촌동,119
송파구,삼전동,126
송파구,가락본동,137
송파구,가락1동,227
송파구,가락2동,144
송파구,문정1동,80
송파구,문정2동,169
송파구,잠실본동,95
송파구,잠실4동,90
송파구,잠실6동,82
송파구,잠실7동,36
송파구,잠실2동,131
송파구,잠실3동,126
