자치구,행정동,보육시설정원,보육시설현원,보육시설포화도
강서구,화곡3동,509,446,0.88
강서구,화곡4동,610,378,0.62
강서구,화곡6동,407,285,0.7
강서구,화곡8동,554,314,0.57
강서구,가양1동,1042,856,0.82
강서구,가양2동,352,214,0.61
강서구,가양3동,265,200,0.75
강서구,발산1동,1041,712,0.68
강서구,공항동,975,835,0.86
강서구,방화1동,1143,939,0.82
강서구,방화2동,469,390,0.83
강서구,방화3동,645,492,0.76
강서구,화곡1동,877,726,0.83
강서구,우장산동,892,661,0.74
구로구,신도림동,956,790,0.83
구로구,구로1동,649,541,0.83
구로구,구로3동,606,451,0.74
구로구,구로4동,532,433,0.81
구로구,구로5동,796,630,0.79
구로구,고척1동,863,660,0.76
구로구,고척2동,826,625,0.76
구로구,개봉2동,648,552,0.85
구로구,개봉3동,618,467,0.76
구로구,오류1동,582,395,0.68
구로구,수궁동,651,551,0.85
구로구,가리봉동,204,101,0.5
구로구,구로2동,761,500,0.66
구로구,개봉1동,795,590,0.74
구로구,오류2동,1233,900,0.73
구로구,항동,875,756,0.86
금천구,가산동,635,378,0.6
금천구,독산1동,1201,976,0.81
금천구,독산2동,610,480,0.79
금천구,독산3동,474,360,0.76
금천구,독산4동,587,355,0.6
금천구,시흥1동,780,584,0.75
금천구,시흥2동,419,326,0.78
금천구,시흥3동,278,159,0.57
금천구,시흥4동,824,479,0.58
금천구,시흥5동,1124,629,0.56
영등포구,여의동,2867,1868,0.65
영등포구,당산1동,672,548,0.82
영등포구,당산2동,859,636,0.74
영등포구,양평1동,516,440,0.85
영등포구,양평2동,602,489,0.81
영등포구,신길1동,363,315,0.87
영등포구,신길3동,327,268,0.82
영등포구,신길4동,505,433,0.86
영등포구,신길5동,220,189,0.86
영등포구,신길6동,651,448,0.69
영등포구,신길7동,416,376,0.9
영등포구,대림1동,399,326,0.82
영등포구,대림2동,279,169,0.61
영등포구,대림3동,555,476,0.86
영등포구,영등포본동,403,328,0.81
영등포구,영등포동,377,274,0.73
영등포구,도림동,448,371,0.83
영등포구,문래동,1002,772,0.77
동작구,노량진2동,35,25,0.71
동작구,상도1동,932,767,0.82
동작구,상도2동,663,579,0.87
동작구,상도3동,381,300,0.79
동작구,상도4동,683,512,0.75
동작구,사당1동,433,355,0.82
동작구,사당3동,459,383,0.83
동작구,사당4동,341,284,0.83
동작구,사당5동,191,183,0.96
동작구,대방동,466,363,0.78
동작구,신대방1동,444,328,0.74
동작구,신대방2동,636,511,0.8
동작구,흑석동,769,530,0.69
동작구,노량진1동,578,428,0.74
동작구,사당2동,550,474,0.86
관악구,보라매동,603,385,0.64
관악구,청림동,377,305,0.81
관악구,행운동,373,265,0.71
관악구,낙성대동,844,525,0.62
관악구,중앙동,144,131,0.91
관악구,인헌동,361,316,0.88
관악구,남현동,352,210,0.6
관악구,서원동,465,272,0.58
관악구,신원동,313,189,0.6
관악구,서림동,234,156,0.67
관악구,신사동,494,296,0.6
관악구,신림동,171,113,0.66
관악구,난향동,421,311,0.74
관악구,조원동,420,300,0.71
관악구,대학동,163,116,0.71
관악구,은천동,648,561,0.87
관악구,성현동,559,417,0.75
관악구,청룡동,571,381,0.67
관악구,난곡동,533,390,0.73
관악구,삼성동,335,214,0.64
관악구,미성동,607,482,0.79
서초구,서초1동,683,455,0.67
서초구,서초2동,774,536,0.69
서초구,서초3동,720,445,0.62
서초구,서초4동,359,267,0.74
서초구,잠원동,436,292,0.67
서초구,반포1동,749,500,0.67
서초구,반포2동,473,298,0.63
서초구,반포3동,442,362,0.82
서초구,반포4동,752,585,0.78
서초구,방배본동,181,141,0.78
서초구,방배1동,150,143,0.95
서초구,방배2동,694,498,0.72
서초구,방배3동,429,309,0.72
서초구,방배4동,409,359,0.88
서초구,양재1동,1028,789,0.77
서초구,양재2동,595,424,0.71
서초구,내곡동,1142,674,0.59
강남구,신사동,276,218,0.79
강남구,개포3동,444,307,0.69
강남구,논현1동,291,155,0.53
강남구,논현2동,223,139,0.62
강남구,삼성1동,526,269,0.51
강남구,삼성2동,768,518,0.67
강남구,대치1동,361,243,0.67
강남구,대치4동,686,395,0.58
강남구,역삼1동,702,312,0.44
강남구,역삼2동,547,340,0.62
강남구,도곡1동,256,167,0.65
강남구,도곡2동,308,224,0.73
강남구,개포4동,706,488,0.69
강남구,일원본동,691,467,0.68
강남구,일원1동,490,255,0.52
강남구,수서동,390,288,0.74
강남구,세곡동,1299,902,0.69
강남구,압구정동,306,240,0.78
강남구,청담동,360,270,0.75
강남구,대치2동,629,400,0.64
강남구,개포2동,466,249,0.53
송파구,풍납1동,213,174,0.82
송파구,풍납2동,1152,818,0.71
송파구,거여1동,609,516,0.85
