ADM_NM,경로당 수
신사1동,9
대치4동,6
신사2동,8
증산동,9
역촌동,3
홍제1동,24
홍제3동,2
홍제2동,2
홍은1동,17
연희동,11
용강동,10
대흥동,6
신수동,15
서교동,5
신월1동,11
합정동,4
망원1동,5
성산2동,18
도화동,12
서강동,11
아현동,18
목1동,19
목2동,10
목3동,5
신월2동,10
신월3동,3
신월5동,2
신월6동,6
중앙동,2
신월7동,7
신정2동,12
신정6동,3
신정7동,9
목5동,6
염창동,35
등촌2동,8
화곡본동,11
화곡2동,2
화곡3동,5
화곡4동,4
화곡6동,6
화곡8동,5
가양2동,7
가양3동,8
화곡1동,6
우장산동,10
구로5동,14
개봉2동,13
개봉3동,6
오류1동,11
수궁동,9
가리봉동,4
구로2동,11
개봉1동,11
오류2동,20
항동,8
독산2동,2
독산3동,6
독산4동,3
시흥2동,12
시흥3동,5
시흥4동,7
여의동,5
당산1동,17
신길3동,4
신길4동,3
신길5동,4
대림1동,6
대림2동,5
사당1동,7
서초4동,9
사당3동,4
사당4동,4
반포1동,8
사당5동,4
신대방1동,10
청림동,5
행운동,7
낙성대동,4
인헌동,5
남현동,4
서원동,5
신원동,3
신림동,3
난향동,8
조원동,5
대학동,4
방배1동,1
은천동,11
성현동,10
청룡동,5
난곡동,6
서초1동,8
서초3동,8
잠원동,31
반포2동,3
반포3동,9
반포4동,6
방배본동,8
방배3동,11
방배4동,4
신사동,3
삼성1동,12
삼성2동,12
역삼1동,19
역삼2동,7
도곡1동,12
풍납1동,7
도곡2동,5
풍납2동,13
개포1동,11
방이2동,2
개포4동,3
일원본동,13
일원1동,2
송파2동,6
개포3동,4
수서동,9
압구정동,9
석촌동,3
청담동,14
삼전동,2
대치2동,9
가락본동,9
개포2동,10
거여1동,6
거여2동,12
문정1동,6
마천1동,7
마천2동,6
방이1동,3
오금동,16
송파1동,5
가락1동,4
가락2동,11
문정2동,4
잠실3동,6
성내1동,13
명일1동,8
명일2동,5
고덕1동,10
고덕2동,3
암사2동,2
암사3동,4
천호1동,14
천호3동,4
성내2동,3
성내3동,1
둔촌1동,2
둔촌2동,13
암사1동,18
천호2동,5
길동,10
강일동,13
상일1동,8
상일2동,1
교남동,2
가회동,4
종로1·2·3·4가동,18
방배2동,5
미아동,7
인수동,8
