주소,업소구분,lat,lng,자치구,법정동,ADM_NM
서울특별시 강동구 암사동  503번지 30호  GS칼텍스,가스충전소,127.1276006,37.5525668,강동구,암사동,암사2동
서울특별시 구로구 개봉동  325번지 18호  ,가스충전소,126.8538389,37.4930007,구로구,개봉동,개봉2동
서울특별시 서대문구 북가좌동  392번지 27호  ,가스충전소,126.9036394,37.5758654,서대문구,북가좌동,북가좌1동
서울특별시 광진구 중곡동  237번지 8호  ,가스충전소,127.0772418,37.566129,광진구,중곡동,중곡1동
서울특별시 강남구 대치동  50번지 8호  ,가스충전소,127.0704042,37.4971582,강남구,대치동,대치2동
서울특별시 강북구 번동  267번지  ,가스충전소,127.0440046,37.6282362,강북구,번동,번3동
서울특별시 중랑구 면목동  169번지 6   호  ,가스충전소,127.0792919,37.5799578,중랑구,면목동,면목5동
서울특별시 영등포구 양평동4가  158번지  ,가스충전소,126.8992747,37.5360546,영등포구,양평동4가,양평2동
서울특별시 광진구 자양동  628번지 19호  ,가스충전소,127.0833906,37.5345864,광진구,자양동,자양1동
서울특별시 성북구 하월곡동  88번지 681호  ,가스충전소,127.0308842,37.607259,성북구,하월곡동,길음2동
