교육지원청명,자치구,유치원명,공립/사립,유형,주소,,Latitude,Longitude,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,보직교사수,일반교사수,특수교사수,기간제교사수,총 교사수
중부교육지원청,용산구,유성유치원(용산구),사립,사인,서울특별시 용산구 회나무로13가길 16,,37.5405627,126.9906374,08시40분~18시00분,3,2,2,0,0,30,22,44,0,0,0,11,0,0,11
중부교육지원청,종로구,청룡유치원(종로구),사립,사인,서울특별시 종로구 동망산길 62,,37.5794207,127.0166873,07시00분~20시00분,0,0,0,1,0,0,0,0,10,0,0,2,0,0,2
성북강북교육지원청,성북구,희망찬유치원(성북구),사립,법인,서울특별시 성북구 동소문로34길 24,,37.5990277,127.0233139,07시00분~20시00분,3,3,2,0,0,35,53,37,0,0,0,13,0,0,13
강동송파교육지원청,송파구,서울방이초등학교병설유치원(송파구),공립,병설,서울특별시 송파구 위례성대로10길 4,,37.5133996,127.1209514,07시30분~19시30분,1,1,2,0,1,11,16,23,0,5,1,3,1,2,7
강동송파교육지원청,강동구,서울신명초등학교병설유치원(강동구),공립,병설,서울특별시 강동구 명일로24길 33,,37.5413036,127.1495185,09시00분~19시00분,0,1,1,0,0,0,4,16,0,0,0,1,0,1,2
동작관악교육지원청,동작구,샛별유치원(동작구),사립,법인,서울특별시 동작구 상도로50길 36-1,,37.4980421,126.9502645,09시00분~17시00분,3,2,3,0,0,44,49,74,0,0,0,14,0,0,14
강동송파교육지원청,강동구,강동유정유치원(강동구),사립,사인,서울특별시 강동구 상일로10길 41,,37.5505784,127.1749421,08시00분~18시00분,6,6,5,0,0,127,148,134,0,0,0,26,0,0,26
성동광진교육지원청,광진구,보성유치원(광진구),사립,사인,서울특별시 광진구 아차산로 552,,37.5431583,127.1041888,08시00분~18시30분,2,1,1,0,0,28,30,29,0,0,0,7,0,0,7
성북강북교육지원청,강북구,아름유치원(강북구),사립,사인,서울특별시 강북구 도봉로 88,,37.6170265,127.030396,09시00분~20시00분,1,1,1,0,0,2,5,12,0,0,0,2,0,0,2
성북강북교육지원청,성북구,은하유치원(성북구),사립,사인,서울특별시 성북구 돌곶이로 64,,37.6095144,127.0585601,07시00분~20시00분,0,0,1,1,0,0,0,31,37,0,0,4,0,0,4
성북강북교육지원청,성북구,한마음유치원(성북구),사립,사인,서울특별시 성북구 월계로 124,,37.6161996,127.0411978,08시30분~19시00분,2,2,2,0,0,31,45,46,0,0,0,11,0,0,11
성북강북교육지원청,성북구,신암유치원(성북구),사립,사인,서울특별시 성북구 보문로27길 15,,37.586657,127.01727,07시00분~20시00분,1,1,1,0,0,22,28,30,0,0,2,4,0,0,6
남부교육지원청,구로구,서울미래초등학교병설유치원(구로구),공립,병설,서울특별시 구로구 새말로 73,,37.5050456,126.8880056,07시00분~19시00분,1,1,1,0,0,16,21,19,0,0,1,2,0,4,7
남부교육지원청,영등포구,성락유치원(영등포구),사립,법인,서울특별시 영등포구 가마산로51길 9,,37.503982,126.9011573,08시00분~20시00분,0,0,1,1,0,0,0,10,7,0,0,2,0,0,2
성북강북교육지원청,강북구,솔샘유치원(강북구),사립,사인,서울특별시 강북구 솔샘로 159,,37.6211493,127.0108272,07시00분~20시00분,5,3,3,0,0,69,61,64,0,0,0,15,0,0,15
강서양천교육지원청,강서구,유니유치원(강서구),사립,사인,서울특별시 강서구 허준로 175,,37.5632287,126.8592942,09시00분~17시00분,2,2,2,0,0,40,50,52,0,0,0,10,0,0,10
남부교육지원청,영등포구,서울영동초등학교병설유치원(영등포구),공립,병설,서울특별시 영등포구 국회대로53길 20,,37.5265582,126.9073056,07시30분~19시30분,1,1,1,0,1,7,16,15,0,3,1,2,1,0,4
서부교육지원청,은평구,서울연은초등학교병설유치원(은평구),공립,병설,서울특별시 은평구 백련산로2길 35,,37.5907251,126.9248081,07시30분~19시30분,0,1,1,0,1,0,14,20,0,5,1,1,1,1,4
동부교육지원청,중랑구,서울묵현초등학교병설유치원(중랑구),공립,병설,서울특별시 중랑구 동일로157길 75,,37.6089797,127.0736424,07시30분~19시30분,0,1,1,0,1,0,10,16,0,5,1,1,1,0,3
강동송파교육지원청,송파구,서울남천초등학교병설유치원(송파구),공립,병설,서울특별시 송파구 성내천로 207,,37.5011138,127.150812,07시00분~20시00분,0,0,1,0,0,0,0,10,0,0,0,1,0,2,3
성북강북교육지원청,강북구,창문유치원(강북구),사립,법인,서울특별시 강북구 월계로 61,,37.6127845,127.0365211,08시00분~20시00분,2,3,2,0,0,46,69,53,0,0,2,0,0,10,12
동작관악교육지원청,관악구,은아유치원(관악구),사립,사인,서울특별시 관악구 남부순환로246길 25,,37.4753398,126.9643631,07시30분~19시00분,3,3,3,0,0,66,72,71,0,0,0,16,0,0,16
