"동별(1)",동별(2),동별(3),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),동별(3),보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
"동별(1)",동별(2),동별(3),소계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,소계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
"합계",노원구,소계,10414,4725,148,-,2518,2663,-,360,7765,3649,89,-,1740,2123,-,164
"합계",노원구,월계1동,519,217,-,-,186,116,-,-,429,185,-,-,155,89,-,-
"합계",노원구,월계2동,502,382,-,-,-,120,-,-,379,284,-,-,-,95,-,-
"합계",노원구,월계3동,617,231,-,-,-,386,-,-,476,192,-,-,-,284,-,-
"합계",노원구,공릉2동,1326,594,-,-,330,197,-,205,1053,490,-,-,275,184,-,104
"합계",노원구,하계1동,546,421,-,-,39,86,-,-,326,213,-,-,36,77,-,-
"합계",노원구,하계2동,301,139,-,-,59,103,-,-,257,133,-,-,34,90,-,-
"합계",노원구,중계본동,238,189,-,-,-,49,-,-,164,135,-,-,-,29,-,-
"합계",노원구,중계1동,423,202,-,-,188,33,-,-,333,168,-,-,137,28,-,-
"합계",노원구,중계4동,168,71,-,-,-,97,-,-,125,53,-,-,-,72,-,-
"합계",노원구,상계1동,829,454,128,-,139,108,-,-,621,332,69,-,118,102,-,-
"합계",노원구,상계2동,712,164,-,-,472,19,-,57,485,123,-,-,326,13,-,23
"합계",노원구,상계5동,442,95,-,-,293,54,-,-,300,83,-,-,178,39,-,-
"합계",노원구,상계8동,673,263,-,-,38,323,-,49,518,237,-,-,29,240,-,12
"합계",노원구,상계9동,317,137,-,-,-,180,-,-,260,119,-,-,-,141,-,-
"합계",노원구,상계10동,315,190,-,-,-,125,-,-,271,152,-,-,-,119,-,-
"합계",노원구,상계3.4동,698,399,-,-,240,59,-,-,417,298,-,-,71,48,-,-
"합계",노원구,상계6.7동,596,130,-,-,163,254,-,49,477,116,-,-,121,215,-,25
"합계",노원구,중계2.3동,460,217,20,-,-,223,-,-,376,186,20,-,-,170,-,-
"합계",노원구,공릉1동,732,230,-,-,371,131,-,-,498,150,-,-,260,88,-,-
"합계",은평구,소계,11693,4676,-,248,5885,690,20,174,8586,3838,-,180,3912,496,15,145
"합계",은평구,녹번동,1248,467,-,80,589,38,-,74,969,360,-,72,433,33,-,71
"합계",은평구,불광1동,760,287,-,-,398,35,-,40,584,234,-,-,287,30,-,33
"합계",은평구,갈현1동,562,189,-,52,321,-,-,-,214,119,-,14,81,-,-,-
"합계",은평구,갈현2동,696,259,-,-,361,56,20,-,462,224,-,-,203,20,15,-
"합계",은평구,구산동,690,287,-,20,383,-,-,-,435,256,-,19,160,-,-,-
"합계",은평구,대조동,604,99,-,-,485,20,-,-,437,90,-,-,329,18,-,-
"합계",은평구,응암1동,1098,401,-,-,697,-,-,-,932,337,-,-,595,-,-,-
"합계",은평구,응암2동,924,627,-,-,200,97,-,-,842,562,-,-,188,92,-,-
"합계",은평구,신사1동,745,151,-,-,574,20,-,-,413,111,-,-,286,16,-,-
"합계",은평구,신사2동,399,160,-,-,224,15,-,-,337,146,-,-,184,7,-,-
"합계",은평구,증산동,445,203,-,-,106,136,-,-,364,170,-,-,73,121,-,-
