자치구,행정동,유해업소수,대형쇼핑몰수,도서관수,미술관 박물관 극장수,"의료시설수(병원,의원,보건소,보건지소)",공원 수,경로당 수,보육시설정원,보육시설현원,보육시설포화도,횡단보도수,육교수,CCTV수,월평균소득금액,평균면적(m^2),면적당 가격(만원/m^2),"주유소,가스충전소 수",공립,사립,공립+사립
용산구,원효로2동,12.0,0.0,0.0,0.0,0.0,2.0,6.0,291.0,215.0,0.74,37.0,7.0,52.0,3838877.210526316,107.0,1467.0,4.0,0.0,2.0,2.0
용산구,효창동,1.0,0.0,0.0,2.0,0.0,2.0,4.0,375.0,311.0,0.83,14.0,0.0,54.0,3540899.736842105,78.0,1417.0,0.0,0.0,0.0,0.0
용산구,용문동,5.0,0.0,0.0,0.0,0.0,1.0,6.0,318.0,271.0,0.85,25.0,0.0,46.0,3584571.1052631577,66.0,1194.0,0.0,0.0,1.0,1.0
용산구,이태원1동,25.0,1.0,0.0,0.0,1.0,1.0,6.0,230.0,165.0,0.72,22.0,2.0,59.0,3691173.736842105,172.0,1510.0,0.0,0.0,0.0,0.0
성동구,금호1가동,0.0,2.0,1.0,0.0,0.0,1.0,6.0,576.0,463.0,0.8,35.0,0.0,118.0,3953888.894736842,82.0,1495.0,0.0,0.0,1.0,1.0
성동구,금호4가동,2.0,1.0,0.0,0.0,0.0,2.0,12.0,346.0,266.0,0.77,23.0,0.0,198.0,4438328.0,79.0,1817.0,1.0,1.0,1.0,2.0
성동구,성수1가1동,8.0,0.0,1.0,2.0,0.0,0.0,12.0,328.0,222.0,0.68,50.0,2.0,240.0,3895002.789473684,102.0,2696.0,3.0,2.0,1.0,3.0
성동구,성수2가1동,16.0,2.0,0.0,0.0,5.0,2.0,8.0,209.0,167.0,0.8,38.0,4.0,278.0,2926007.4736842103,82.0,2222.0,2.0,1.0,0.0,1.0
성동구,송정동,15.0,0.0,0.0,0.0,1.0,1.0,5.0,278.0,156.0,0.56,13.0,0.0,305.0,2583422.8947368423,80.0,1068.0,3.0,1.0,0.0,1.0
성동구,용답동,24.0,2.0,1.0,0.0,2.0,1.0,4.0,504.0,295.0,0.59,30.0,10.0,271.0,2489153.6842105263,73.0,992.0,4.0,1.0,0.0,1.0
성북구,정릉4동,1.0,0.0,1.0,0.0,0.0,1.0,14.0,666.0,497.0,0.75,53.0,1.0,190.0,3060802.052631579,73.0,761.0,0.0,0.0,2.0,2.0
성북구,길음1동,4.0,3.0,1.0,0.0,2.0,4.0,19.0,706.0,602.0,0.85,59.0,1.0,108.0,4482440.263157895,74.0,1173.0,1.0,3.0,4.0,7.0
성북구,성북동,4.0,0.0,0.0,6.0,0.0,2.0,5.0,191.0,145.0,0.76,25.0,0.0,281.0,3501359.6842105263,58.0,863.0,0.0,1.0,2.0,3.0
성북구,삼선동,20.0,1.0,0.0,0.0,0.0,1.0,9.0,281.0,221.0,0.79,34.0,21.0,229.0,3079254.1052631577,71.0,1019.0,1.0,1.0,0.0,1.0
성북구,동선동,19.0,4.0,1.0,1.0,2.0,0.0,4.0,200.0,158.0,0.79,23.0,8.0,189.0,2852581.8947368423,74.0,894.0,1.0,2.0,1.0,3.0
동대문구,휘경1동,3.0,0.0,0.0,0.0,0.0,1.0,8.0,279.0,201.0,0.72,37.0,7.0,128.0,2747514.6842105263,68.0,1103.0,6.0,1.0,1.0,2.0
동대문구,이문1동,3.0,1.0,0.0,0.0,0.0,0.0,9.0,341.0,209.0,0.61,36.0,3.0,196.0,2980528.210526316,65.0,1095.0,2.0,0.0,2.0,2.0
동대문구,이문2동,2.0,0.0,0.0,0.0,0.0,0.0,11.0,549.0,461.0,0.84,25.0,0.0,145.0,3163719.1578947366,65.0,915.0,2.0,0.0,1.0,1.0
동대문구,답십리1동,10.0,1.0,1.0,0.0,1.0,4.0,11.0,777.0,616.0,0.79,74.0,0.0,195.0,3537585.5263157897,56.0,1141.0,1.0,1.0,0.0,1.0
중랑구,상봉1동,16.0,1.0,0.0,0.0,1.0,1.0,10.0,479.0,387.0,0.81,23.0,2.0,208.0,2998857.6315789474,76.0,856.0,0.0,0.0,2.0,2.0
중랑구,중화1동,0.0,0.0,0.0,0.0,1.0,2.0,6.0,467.0,364.0,0.78,16.0,1.0,155.0,2540502.4736842103,74.0,772.0,2.0,1.0,4.0,5.0
중랑구,신내1동,4.0,2.0,0.0,0.0,1.0,6.0,20.0,1544.0,1031.0,0.67,111.0,7.0,175.0,2798343.052631579,74.0,783.0,3.0,1.0,1.0,2.0
성북구,월곡2동,1.0,1.0,2.0,1.0,1.0,2.0,10.0,476.0,381.0,0.8,35.0,12.0,192.0,3161249.3157894737,91.0,921.0,2.0,0.0,2.0,2.0
광진구,자양3동,5.0,5.0,0.0,0.0,0.0,2.0,18.0,627.0,536.0,0.85,25.0,2.0,217.0,4391943.263157895,86.0,1562.0,1.0,1.0,3.0,4.0
광진구,구의2동,2.0,0.0,0.0,0.0,1.0,2.0,3.0,577.0,411.0,0.71,50.0,0.0,317.0,2928061.8947368423,74.0,1027.0,0.0,0.0,3.0,3.0
강북구,수유1동,37.0,3.0,1.0,0.0,0.0,3.0,6.0,672.0,518.0,0.77,35.0,10.0,143.0,2229607.4736842103,47.0,619.0,4.0,1.0,1.0,2.0
강북구,삼양동,14.0,3.0,1.0,0.0,0.0,2.0,14.0,638.0,380.0,0.6,40.0,8.0,199.0,2482010.1578947366,71.0,938.0,2.0,1.0,2.0,3.0
강북구,송천동,12.0,1.0,1.0,0.0,4.0,2.0,10.0,369.0,256.0,0.69,47.0,0.0,144.0,2456559.6842105263,70.0,951.0,2.0,1.0,0.0,1.0
강북구,삼각산동,5.0,1.0,1.0,0.0,0.0,2.0,9.0,913.0,771.0,0.84,20.0,0.0,46.0,3761878.6842105263,76.0,1041.0,0.0,0.0,1.0,1.0
강북구,우이동,21.0,0.0,0.0,0.0,0.0,2.0,5.0,540.0,463.0,0.86,40.0,0.0,159.0,2472202.736842105,74.0,537.0,1.0,0.0,2.0,2.0
노원구,월계2동,0.0,0.0,1.0,1.0,0.0,8.0,12.0,502.0,379.0,0.75,29.0,0.0,151.0,2744711.263157895,69.0,880.0,1.0,1.0,5.0,6.0
성북구,정릉1동,6.0,0.0,0.0,0.0,4.0,1.0,11.0,483.0,417.0,0.86,39.0,3.0,133.0,3356520.210526316,75.0,983.0,0.0,0.0,2.0,2.0
종로구,무악동,0.0,0.0,0.0,0.0,1.0,1.0,3.0,240.0,152.0,0.63,4.0,2.0,33.0,5134832.842105263,82.0,1590.0,0.0,0.0,1.0,1.0
종로구,종로5·6가동,113.0,2.0,0.0,0.0,0.0,3.0,6.0,184.0,86.0,0.47,82.0,6.0,116.0,2534670.736842105,23.0,1106.0,0.0,0.0,1.0,1.0
종로구,이화동,1.0,0.0,0.0,3.0,3.0,1.0,4.0,148.0,85.0,0.57,19.0,0.0,101.0,3052155.947368421,49.0,803.0,1.0,0.0,0.0,0.0
종로구,창신1동,23.0,2.0,0.0,0.0,0.0,0.0,3.0,131.0,73.0,0.56,25.0,4.0,57.0,2402760.3684210526,58.0,1399.0,0.0,1.0,0.0,1.0
종로구,창신2동,9.0,0.0,0.0,0.0,0.0,1.0,4.0,188.0,115.0,0.61,4.0,0.0,87.0,2123343.5263157897,56.0,823.0,0.0,0.0,0.0,0.0
중구,을지로동,92.0,1.0,0.0,1.0,1.0,1.0,1.0,119.0,63.0,0.53,84.0,7.0,125.0,3041933.789473684,69.0,1166.0,1.0,0.0,1.0,1.0
은평구,수색동,8.0,0.0,0.0,0.0,0.0,0.0,10.0,170.0,149.0,0.88,40.0,0.0,109.0,3258020.1052631577,84.0,1168.0,5.0,1.0,1.0,2.0
은평구,진관동,0.0,3.0,3.0,2.0,1.0,10.0,28.0,1542.0,1091.0,0.71,224.0,0.0,424.0,4100987.736842105,93.0,1044.0,5.0,5.0,4.0,9.0
은평구,불광2동,2.0,1.0,0.0,0.0,0.0,5.0,8.0,384.0,256.0,0.67,31.0,0.0,320.0,2410974.1578947366,61.0,908.0,2.0,3.0,0.0,3.0
은평구,응암3동,43.0,0.0,1.0,0.0,3.0,3.0,3.0,339.0,283.0,0.83,39.0,0.0,314.0,2377758.0,60.0,768.0,1.0,1.0,3.0,4.0
서대문구,천연동,9.0,0.0,1.0,1.0,0.0,2.0,12.0,457.0,364.0,0.8,29.0,1.0,117.0,4221818.894736842,73.0,1310.0,0.0,1.0,0.0,1.0
노원구,하계2동,0.0,1.0,0.0,0.0,1.0,3.0,5.0,301.0,257.0,0.85,31.0,2.0,36.0,3643362.894736842,68.0,1088.0,4.0,0.0,2.0,2.0
서대문구,홍은2동,16.0,1.0,0.0,0.0,1.0,4.0,4.0,291.0,157.0,0.54,44.0,0.0,337.0,2891575.789473684,99.0,618.0,1.0,0.0,1.0,1.0
서대문구,남가좌1동,8.0,0.0,0.0,0.0,1.0,3.0,7.0,499.0,465.0,0.93,25.0,0.0,58.0,4509826.47368421,73.0,1330.0,0.0,1.0,0.0,1.0
마포구,염리동,1.0,0.0,1.0,0.0,0.0,2.0,9.0,385.0,282.0,0.73,9.0,2.0,132.0,3981720.6842105263,73.0,1642.0,0.0,1.0,1.0,2.0
마포구,연남동,5.0,0.0,0.0,0.0,7.0,2.0,5.0,160.0,111.0,0.69,38.0,0.0,136.0,2995039.1578947366,70.0,927.0,2.0,0.0,2.0,2.0
마포구,성산1동,2.0,0.0,1.0,1.0,2.0,4.0,5.0,213.0,178.0,0.84,40.0,0.0,143.0,2836873.1578947366,81.0,772.0,3.0,1.0,1.0,2.0
노원구,상계8동,0.0,0.0,0.0,0.0,0.0,5.0,4.0,673.0,518.0,0.77,17.0,0.0,52.0,3184253.3684210526,54.0,1090.0,0.0,2.0,3.0,5.0
노원구,상계3·4동,3.0,0.0,0.0,0.0,0.0,5.0,11.0,698.0,417.0,0.6,30.0,0.0,211.0,2654371.4736842103,73.0,845.0,1.0,1.0,3.0,4.0
양천구,신정3동,28.0,0.0,1.0,0.0,2.0,11.0,19.0,988.0,837.0,0.85,126.0,14.0,378.0,3179649.789473684,76.0,1020.0,4.0,4.0,3.0,7.0
강남구,논현2동,55.0,6.0,1.0,1.0,9.0,2.0,5.0,223.0,139.0,0.62,58.0,0.0,502.0,4003462.6315789474,94.0,1693.0,2.0,1.0,2.0,3.0
강서구,가양1동,44.0,5.0,0.0,1.0,8.0,6.0,25.0,1042.0,856.0,0.82,190.0,2.0,268.0,3613452.0,82.0,1113.0,12.0,0.0,3.0,3.0
강서구,발산1동,6.0,10.0,1.0,0.0,13.0,8.0,10.0,1041.0,712.0,0.68,174.0,7.0,148.0,3202207.0,81.0,906.0,3.0,1.0,3.0,4.0
강서구,공항동,9.0,1.0,0.0,0.0,1.0,6.0,8.0,975.0,835.0,0.86,72.0,0.0,186.0,2859584.052631579,75.0,1212.0,9.0,2.0,2.0,4.0
강서구,방화1동,4.0,6.0,0.0,0.0,3.0,12.0,24.0,1143.0,939.0,0.82,94.0,0.0,199.0,3366041.3684210526,78.0,1094.0,1.0,3.0,2.0,5.0
강서구,방화2동,16.0,2.0,0.0,0.0,1.0,8.0,9.0,469.0,390.0,0.83,54.0,4.0,268.0,2726484.4736842103,63.0,846.0,9.0,1.0,3.0,4.0
강서구,방화3동,0.0,1.0,1.0,0.0,1.0,9.0,17.0,645.0,492.0,0.76,82.0,0.0,101.0,3076344.8421052634,70.0,972.0,0.0,1.0,2.0,3.0
강남구,대치1동,2.0,8.0,0.0,0.0,2.0,4.0,15.0,361.0,243.0,0.67,46.0,3.0,174.0,7464364.789473684,111.0,2865.0,0.0,0.0,2.0,2.0
구로구,신도림동,5.0,6.0,1.0,0.0,0.0,3.0,21.0,956.0,790.0,0.83,72.0,15.0,218.0,4406430.631578947,80.0,1284.0,2.0,1.0,2.0,3.0
구로구,구로1동,3.0,0.0,0.0,0.0,0.0,0.0,16.0,649.0,541.0,0.83,14.0,20.0,103.0,3394043.210526316,72.0,938.0,0.0,1.0,2.0,3.0
구로구,구로3동,43.0,3.0,1.0,0.0,3.0,2.0,11.0,606.0,451.0,0.74,67.0,4.0,369.0,2910926.947368421,49.0,654.0,1.0,2.0,1.0,3.0
구로구,구로4동,19.0,0.0,1.0,0.0,0.0,2.0,10.0,532.0,433.0,0.81,33.0,3.0,250.0,2644376.5789473685,48.0,578.0,1.0,0.0,2.0,2.0
구로구,고척1동,5.0,5.0,0.0,0.0,3.0,1.0,19.0,863.0,660.0,0.76,60.0,6.0,220.0,2982277.5789473685,71.0,867.0,0.0,2.0,0.0,2.0
구로구,고척2동,2.0,2.0,1.0,0.0,2.0,6.0,10.0,826.0,625.0,0.76,37.0,8.0,354.0,2900148.8947368423,74.0,790.0,1.0,1.0,0.0,1.0
금천구,시흥1동,61.0,6.0,1.0,0.0,24.0,5.0,9.0,780.0,584.0,0.75,87.0,8.0,381.0,2788702.1578947366,62.0,861.0,3.0,0.0,2.0,2.0
서대문구,북가좌2동,8.0,0.0,0.0,0.0,0.0,5.0,5.0,419.0,338.0,0.81,34.0,0.0,331.0,2612322.8947368423,86.0,774.0,2.0,0.0,2.0,2.0
서대문구,충현동,4.0,0.0,0.0,1.0,1.0,0.0,6.0,505.0,418.0,0.83,37.0,2.0,233.0,3226418.3684210526,80.0,1156.0,1.0,0.0,0.0,0.0
서대문구,북아현동,5.0,1.0,0.0,0.0,1.0,5.0,7.0,517.0,448.0,0.87,20.0,1.0,126.0,4198339.631578947,81.0,1707.0,0.0,1.0,0.0,1.0
서대문구,신촌동,77.0,4.0,0.0,3.0,4.0,4.0,4.0,467.0,296.0,0.63,54.0,2.0,370.0,3357577.789473684,55.0,954.0,1.0,0.0,3.0,3.0
금천구,시흥5동,0.0,2.0,0.0,0.0,14.0,3.0,6.0,1124.0,629.0,0.56,35.0,0.0,303.0,2387416.4210526315,77.0,688.0,0.0,1.0,1.0,2.0
양천구,목4동,0.0,2.0,1.0,0.0,0.0,4.0,7.0,359.0,292.0,0.81,32.0,0.0,255.0,3453966.947368421,82.0,1021.0,0.0,0.0,1.0,1.0
영등포구,당산2동,7.0,5.0,1.0,0.0,0.0,2.0,17.0,859.0,636.0,0.74,32.0,6.0,88.0,4157253.210526316,71.0,1260.0,0.0,1.0,2.0,3.0
영등포구,양평1동,29.0,1.0,0.0,0.0,1.0,1.0,18.0,516.0,440.0,0.85,59.0,3.0,88.0,3521740.8421052634,69.0,1190.0,2.0,1.0,2.0,3.0
영등포구,양평2동,24.0,0.0,1.0,0.0,2.0,1.0,14.0,602.0,489.0,0.81,63.0,16.0,124.0,3692092.1578947366,69.0,1121.0,6.0,1.0,1.0,2.0
영등포구,신길1동,7.0,2.0,1.0,0.0,12.0,2.0,16.0,363.0,315.0,0.87,16.0,0.0,127.0,2802338.8947368423,43.0,1109.0,1.0,0.0,0.0,0.0
영등포구,신길6동,8.0,0.0,0.0,0.0,1.0,0.0,9.0,651.0,448.0,0.69,44.0,0.0,120.0,2981955.3157894737,67.0,1277.0,2.0,1.0,1.0,2.0
영등포구,신길7동,4.0,0.0,0.0,0.0,2.0,1.0,3.0,416.0,376.0,0.9,28.0,3.0,110.0,3641547.736842105,74.0,1424.0,1.0,1.0,1.0,2.0
마포구,망원2동,2.0,1.0,0.0,0.0,0.0,2.0,5.0,401.0,351.0,0.88,52.0,2.0,105.0,2937758.6315789474,66.0,1041.0,2.0,1.0,0.0,1.0
영등포구,대림3동,12.0,1.0,1.0,0.0,7.0,5.0,9.0,555.0,476.0,0.86,57.0,2.0,167.0,2926587.947368421,69.0,896.0,3.0,1.0,3.0,4.0
영등포구,영등포본동,18.0,3.0,0.0,0.0,4.0,2.0,8.0,403.0,328.0,0.81,39.0,3.0,156.0,3302786.947368421,70.0,1166.0,2.0,0.0,2.0,2.0
영등포구,영등포동,179.0,10.0,0.0,0.0,14.0,4.0,14.0,377.0,274.0,0.73,107.0,0.0,222.0,3602238.8947368423,41.0,1165.0,2.0,1.0,2.0,3.0
영등포구,도림동,8.0,0.0,0.0,0.0,0.0,1.0,8.0,448.0,371.0,0.83,38.0,0.0,137.0,3061526.0,71.0,1149.0,3.0,0.0,2.0,2.0
영등포구,문래동,11.0,3.0,1.0,0.0,11.0,1.0,24.0,1002.0,772.0,0.77,115.0,7.0,239.0,4056842.842105264,78.0,1191.0,7.0,1.0,0.0,1.0
동작구,노량진2동,11.0,0.0,2.0,0.0,1.0,0.0,2.0,35.0,25.0,0.71,14.0,2.0,114.0,2427127.0,67.0,1762.0,2.0,0.0,1.0,1.0
동작구,상도1동,4.0,0.0,1.0,1.0,1.0,3.0,14.0,932.0,767.0,0.82,47.0,16.0,255.0,3908723.736842105,78.0,965.0,3.0,1.0,4.0,5.0
동작구,상도2동,8.0,1.0,0.0,0.0,1.0,3.0,7.0,663.0,579.0,0.87,53.0,4.0,157.0,3824542.4736842094,75.0,1527.0,0.0,0.0,2.0,2.0
동작구,상도3동,3.0,0.0,0.0,0.0,0.0,3.0,3.0,381.0,300.0,0.79,11.0,8.0,182.0,2600915.4210526315,74.0,789.0,2.0,0.0,1.0,1.0
동작구,상도4동,0.0,0.0,1.0,0.0,1.0,1.0,4.0,683.0,512.0,0.75,20.0,4.0,242.0,2585296.6315789474,82.0,930.0,1.0,0.0,3.0,3.0
동작구,대방동,19.0,3.0,1.0,0.0,2.0,2.0,11.0,466.0,363.0,0.78,80.0,8.0,235.0,3549959.789473684,75.0,1086.0,1.0,0.0,2.0,2.0
동작구,신대방2동,4.0,1.0,0.0,0.0,2.0,0.0,1.0,636.0,511.0,0.8,27.0,2.0,169.0,3379548.4210526315,104.0,1036.0,2.0,0.0,0.0,0.0
동작구,흑석동,8.0,1.0,0.0,0.0,1.0,2.0,6.0,769.0,530.0,0.69,70.0,2.0,209.0,4212859.7894736845,87.0,1753.0,1.0,2.0,4.0,6.0
동작구,노량진1동,9.0,0.0,0.0,0.0,0.0,4.0,17.0,578.0,428.0,0.74,69.0,28.0,216.0,3616194.3684210526,76.0,1304.0,0.0,3.0,3.0,6.0
동작구,사당2동,15.0,3.0,0.0,0.0,1.0,2.0,5.0,550.0,474.0,0.86,19.0,7.0,162.0,3932019.789473684,77.0,1385.0,3.0,0.0,2.0,2.0
관악구,보라매동,0.0,1.0,0.0,0.0,2.0,3.0,3.0,603.0,385.0,0.64,11.0,0.0,339.0,2548046.3157894737,90.0,742.0,0.0,1.0,0.0,1.0
강서구,등촌3동,2.0,5.0,1.0,0.0,6.0,10.0,14.0,660.0,461.0,0.7,58.0,0.0,95.0,3428905.947368421,68.0,1169.0,0.0,1.0,4.0,5.0
관악구,삼성동,9.0,0.0,0.0,0.0,0.0,4.0,9.0,335.0,214.0,0.64,23.0,2.0,329.0,2607853.263157895,73.0,822.0,1.0,1.0,1.0,2.0
관악구,미성동,12.0,1.0,0.0,1.0,3.0,7.0,10.0,607.0,482.0,0.79,31.0,0.0,384.0,2694159.3157894737,71.0,808.0,1.0,0.0,1.0,1.0
서초구,양재1동,10.0,2.0,2.0,1.0,2.0,21.0,18.0,1028.0,789.0,0.77,145.0,22.0,507.0,4187758.842105264,86.0,1526.0,5.0,5.0,3.0,8.0
서초구,양재2동,10.0,2.0,0.0,0.0,0.0,12.0,4.0,595.0,424.0,0.71,97.0,3.0,514.0,3248298.5263157897,80.0,1042.0,8.0,0.0,1.0,1.0
서초구,내곡동,0.0,0.0,1.0,0.0,1.0,10.0,17.0,1142.0,674.0,0.59,42.0,21.0,258.0,3949670.5263157897,82.0,1919.0,3.0,2.0,0.0,2.0
강남구,세곡동,0.0,1.0,1.0,1.0,3.0,20.0,21.0,1299.0,902.0,0.69,172.0,6.0,423.0,3910359.052631579,80.0,1759.0,10.0,5.0,1.0,6.0
금천구,가산동,91.0,7.0,1.0,0.0,6.0,3.0,10.0,635.0,378.0,0.6,196.0,39.0,296.0,2595373.3684210526,44.0,850.0,3.0,0.0,1.0,1.0
송파구,장지동,0.0,0.0,1.0,0.0,0.0,10.0,3.0,708.0,640.0,0.9,60.0,0.0,145.0,3285853.789473684,75.0,1505.0,1.0,0.0,5.0,5.0
송파구,위례동,0.0,0.0,1.0,0.0,1.0,4.0,11.0,1865.0,1698.0,0.91,141.0,10.0,116.0,3893769.842105264,92.0,1744.0,2.0,5.0,0.0,5.0
서초구,서초2동,58.0,6.0,2.0,1.0,1.0,3.0,6.0,774.0,536.0,0.69,78.0,0.0,265.0,5249873.47368421,83.0,1787.0,0.0,0.0,1.0,1.0
관악구,서림동,0.0,0.0,0.0,0.0,0.0,4.0,2.0,234.0,156.0,0.67,24.0,1.0,241.0,2554732.052631579,64.0,966.0,2.0,1.0,2.0,3.0
송파구,오륜동,0.0,1.0,1.0,3.0,0.0,0.0,2.0,93.0,45.0,0.48,33.0,0.0,45.0,6154886.368421053,102.0,2223.0,0.0,1.0,2.0,3.0
강남구,논현1동,32.0,17.0,0.0,0.0,9.0,6.0,5.0,291.0,155.0,0.53,37.0,0.0,495.0,3313735.947368421,82.0,1260.0,1.0,1.0,0.0,1.0
양천구,신월4동,7.0,0.0,1.0,0.0,1.0,5.0,10.0,523.0,394.0,0.75,31.0,4.0,162.0,2658669.210526316,71.0,680.0,2.0,0.0,3.0,3.0
성북구,정릉2동,2.0,0.0,1.0,0.0,2.0,1.0,14.0,246.0,181.0,0.74,38.0,3.0,189.0,2951897.6842105263,71.0,954.0,3.0,0.0,0.0,0.0
성북구,정릉3동,5.0,0.0,0.0,1.0,1.0,1.0,7.0,444.0,245.0,0.55,10.0,29.0,253.0,2504545.947368421,78.0,644.0,2.0,1.0,0.0,1.0
성북구,장위3동,0.0,0.0,0.0,0.0,0.0,1.0,6.0,437.0,409.0,0.94,36.0,0.0,104.0,3097882.052631579,65.0,1121.0,4.0,1.0,0.0,1.0
종로구,창신3동,0.0,1.0,0.0,0.0,0.0,2.0,4.0,116.0,62.0,0.53,1.0,0.0,41.0,3023324.8947368423,73.0,1043.0,0.0,1.0,0.0,1.0
종로구,숭인1동,22.0,0.0,0.0,0.0,0.0,1.0,4.0,101.0,70.0,0.69,10.0,0.0,85.0,2893985.210526316,81.0,1190.0,0.0,0.0,1.0,1.0
종로구,숭인2동,35.0,1.0,1.0,0.0,1.0,1.0,3.0,106.0,75.0,0.71,16.0,3.0,116.0,2619079.052631579,34.0,789.0,1.0,0.0,0.0,0.0
종로구,청운효자동,0.0,0.0,2.0,3.0,1.0,1.0,2.0,392.0,215.0,0.55,64.0,0.0,181.0,3817398.6315789474,91.0,835.0,0.0,1.0,1.0,2.0
종로구,혜화동,7.0,0.0,1.0,4.0,0.0,3.0,6.0,188.0,147.0,0.78,50.0,0.0,237.0,3355042.6315789474,88.0,1056.0,2.0,1.0,2.0,3.0
중구,소공동,87.0,4.0,0.0,7.0,1.0,4.0,1.0,440.0,295.0,0.67,77.0,0.0,129.0,5412533.052631579,58.0,1433.0,0.0,1.0,0.0,1.0
중구,회현동,55.0,10.0,0.0,2.0,0.0,1.0,3.0,397.0,198.0,0.5,60.0,11.0,204.0,4461434.842105263,101.0,1080.0,1.0,0.0,1.0,1.0
중구,명동,130.0,9.0,1.0,2.0,2.0,2.0,1.0,627.0,347.0,0.55,97.0,17.0,224.0,3744534.5263157897,167.0,1198.0,1.0,0.0,0.0,0.0
중구,필동,52.0,0.0,0.0,2.0,0.0,0.0,1.0,79.0,51.0,0.65,35.0,11.0,160.0,3041074.3684210526,61.0,959.0,2.0,0.0,2.0,2.0
중구,신당5동,5.0,0.0,0.0,0.0,0.0,2.0,7.0,292.0,208.0,0.71,11.0,0.0,146.0,3046888.0,48.0,1319.0,1.0,0.0,1.0,1.0
용산구,서빙고동,3.0,1.0,0.0,2.0,0.0,2.0,9.0,264.0,186.0,0.7,40.0,36.0,58.0,4229078.210526316,121.0,1941.0,2.0,1.0,1.0,2.0
용산구,보광동,4.0,0.0,0.0,0.0,0.0,0.0,12.0,275.0,148.0,0.54,19.0,2.0,84.0,2556701.6842105263,83.0,2097.0,1.0,0.0,1.0,1.0
용산구,청파동,29.0,0.0,1.0,2.0,1.0,3.0,4.0,504.0,346.0,0.69,54.0,2.0,114.0,2633730.052631579,94.0,686.0,3.0,2.0,0.0,2.0
용산구,원효로1동,9.0,1.0,1.0,0.0,0.0,2.0,7.0,305.0,269.0,0.88,26.0,5.0,56.0,4455856.263157895,86.0,1475.0,0.0,1.0,1.0,2.0
용산구,한강로동,25.0,10.0,0.0,1.0,0.0,4.0,8.0,713.0,590.0,0.83,95.0,22.0,81.0,4980382.105263158,107.0,1817.0,2.0,0.0,0.0,0.0
중구,황학동,14.0,1.0,0.0,0.0,2.0,1.0,3.0,289.0,229.0,0.79,24.0,0.0,118.0,3259918.789473684,49.0,983.0,0.0,0.0,0.0,0.0
중구,신당동,64.0,19.0,1.0,0.0,2.0,0.0,3.0,106.0,91.0,0.86,66.0,3.0,200.0,2824606.5789473685,55.0,1082.0,3.0,1.0,0.0,1.0
