교육지원청명,자치구,주소,"사립,공립",유형,유치원명,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수
강서양천교육지원청,강서구,서울특별시 강서구 허준로 139,사립,사인,장미유치원,08시30분~18시00분,2.0,2.0,1.0,0,,26.0,29.0,25.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 목동동로 430,사립,사인,한서유치원,07시00분~19시00분,3.0,2.0,1.0,0,,57.0,39.0,20.0,0,
강서양천교육지원청,양천구,서울특별시 양천구 목동서로2길 22,사립,사인,해림유치원,09시00분~18시00분,,,,5,,,,,114,
강서양천교육지원청,강서구,서울특별시 강서구 강서로45길 63,사립,사인,홍신유치원,08시00분~18시00분,1.0,2.0,2.0,0,,63.0,73.0,62.0,0,
남부교육지원청,구로구,서울특별시 구로구 디지털로27다길 15,사립,법인,꿀벌유치원,09시30분~17시00분,1.0,2.0,2.0,0,,22.0,36.0,27.0,0,
남부교육지원청,구로구,서울특별시 구로구 오류로8길 22,사립,사인,일신유치원,09시00분~19시00분,1.0,1.0,1.0,0,,13.0,12.0,18.0,0,
남부교육지원청,금천구,서울특별시 금천구 한내로 62,사립,사인,한신유치원,08시00분~18시30분,2.0,3.0,2.0,0,,51.0,68.0,39.0,0,
동부교육지원청,동대문구,서울특별시 동대문구 휘경로 42,사립,사인,규전유치원,09시00분~18시30분,,,1.0,1,,,,11.0,10,
북부교육지원청,도봉구,서울특별시 도봉구 해등로 113,사립,사인,솔샘유치원,08시00분~20시00분,2.0,1.0,2.0,0,,25.0,25.0,46.0,0,
서부교육지원청,마포구,서울특별시 마포구 월드컵북로 233-1,사립,사인,서울유치원,09시00분~18시30분,1.0,1.0,1.0,0,,11.0,27.0,31.0,0,
강동송파교육지원청,강동구,서울특별시 강동구 진황도로61길 29,공립,병설,서울선린초등학교병설유치원,07시00분~20시00분,2.0,2.0,1.0,0,,15.0,25.0,12.0,0,
강동송파교육지원청,송파구,서울특별시 송파구 양재대로 1264,공립,병설,서울세륜초등학교병설유치원,07시30분~20시00분,1.0,1.0,1.0,0,1.0,3.0,6.0,14.0,0,5.0
성동광진교육지원청,성동구,서울특별시 성동구 마장로42길 26,사립,사인,세인유치원,09시00분~18시00분,1.0,1.0,1.0,0,,4.0,21.0,11.0,0,
