기준_년분기_코드,행정동_코드_명,행정동_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,인구수
20213,자양3동,11215840,4353416,8,4227959000,1196364000,352362000,25203000,357608000,361630000,385131000,9352000,245007000,161334000,1133968000,27216
20213,자양4동,11215847,2795134,6,6153881000,1904634000,157400000,21293000,742890000,44206000,127212000,133795000,649784000,366355000,2006312000,19881
20213,중곡1동,11215740,2542359,6,4047639000,1665527000,115351000,92808000,374094000,580654000,34764000,171142000,166326000,174273000,672700000,15237
20213,중곡2동,11215750,2555101,6,3392044000,951985000,99418000,150437000,628426000,125065000,151947000,69080000,250282000,141696000,823708000,20517
20213,중곡3동,11215760,2390961,5,2488001000,707840000,31228000,68350000,412300000,541789000,90635000,56458000,94415000,75936000,409050000,15727
20213,중곡4동,11215770,2523958,6,3024716000,1222318000,98540000,22469000,322575000,208461000,101775000,67578000,175019000,79017000,726964000,27590
20213,화양동,11215710,2470026,6,12568417000,1576435000,1060538000,49548000,2396459000,684521000,190035000,811008000,758978000,585542000,4455353000,23192
20214,광장동,11215810,5284540,9,3812186000,1145481000,36428000,81569000,264262000,284798000,427368000,88228000,244216000,174238000,1065598000,33967
20214,구의1동,11215850,2683701,6,3956392000,932733000,75030000,183990000,441110000,79422000,45804000,309537000,180087000,120172000,1588507000,23124
20214,구의2동,11215860,2948328,6,3750436000,1261267000,128135000,52809000,403715000,91707000,182618000,76793000,216503000,173575000,1163314000,25604
20214,구의3동,11215870,4010979,8,10434173000,1905745000,658012000,797890000,1209267000,931631000,737281000,84480000,943106000,1263980000,1902781000,27836
20214,군자동,11215730,2604535,6,5594531000,1414541000,41482000,191965000,1730321000,192454000,87558000,152184000,155535000,286719000,1341772000,19068
20214,능동,11215780,2846023,6,5476542000,738894000,50011000,316107000,1090136000,1226934000,74968000,139323000,438866000,81624000,1319679000,11095
20214,자양1동,11215820,2745988,6,4818614000,1591998000,264418000,38403000,831948000,130707000,152960000,94091000,210158000,206835000,1297096000,21832
20214,자양2동,11215830,2999213,7,3189079000,952173000,40833000,50792000,491538000,388801000,144717000,101894000,199303000,114440000,704588000,23625
20214,자양3동,11215840,4353416,8,4378871000,1039588000,400062000,31262000,362442000,337030000,393763000,15829000,374341000,166958000,1257596000,27216
20214,자양4동,11215847,2795134,6,6640782000,1757362000,280957000,74645000,733080000,24842000,113508000,170587000,607401000,401902000,2476498000,19881
20214,중곡1동,11215740,2542359,6,4143275000,1553907000,148446000,128902000,394244000,550233000,45504000,181697000,150920000,195461000,793961000,15237
20214,중곡2동,11215750,2555101,6,3574794000,908228000,122211000,98232000,632425000,123922000,143591000,105470000,334513000,119485000,986717000,20517
20214,중곡3동,11215760,2390961,5,2528690000,640297000,45698000,52810000,431802000,549844000,77962000,81079000,112062000,91382000,445754000,15727
20214,중곡4동,11215770,2523958,6,3138179000,1067979000,142634000,33461000,327252000,210430000,103878000,122428000,223623000,88327000,818167000,27590
20214,화양동,11215710,2470026,6,15826250000,1693273000,1071869000,40792000,2402709000,777715000,191002000,1612530000,864132000,567321000,6604907000,23192
20221,광장동,11215810,5284540,9,3526626000,1106739000,31929000,25511000,295006000,244280000,398100000,46564000,249684000,165705000,963108000,33967
20221,구의1동,11215850,2683701,6,3537475000,922972000,69310000,141774000,403353000,66347000,49022000,198694000,175117000,117818000,1393068000,23124
20221,구의2동,11215860,2948328,6,3943990000,1367850000,78398000,24753000,373081000,61053000,205617000,57151000,568767000,170404000,1036916000,25604
20221,구의3동,11215870,4010979,8,9009821000,1839730000,458004000,714701000,1050069000,765615000,661525000,60934000,786628000,1025618000,1646997000,27836
20221,군자동,11215730,2604535,6,5072874000,1430363000,35263000,171228000,1450681000,180173000,79194000,117220000,141564000,267511000,1199677000,19068
20221,능동,11215780,2846023,6,5149408000,719757000,38422000,340630000,1078994000,1274662000,50905000,104488000,370137000,56192000,1115221000,11095
20221,자양1동,11215820,2745988,6,4542027000,1643235000,186565000,37954000,792283000,116297000,174731000,63554000,192352000,216797000,1118259000,21832
20221,자양2동,11215830,2999213,7,3033099000,982930000,23915000,40815000,441597000,340960000,152747000,70337000,236469000,116446000,626883000,23625
20221,자양3동,11215840,4353416,8,3962324000,990015000,316014000,15018000,377372000,298404000,367688000,19061000,314094000,167563000,1097095000,27216
20221,자양4동,11215847,2795134,6,5987117000,1720428000,194084000,27855000,772300000,26450000,79255000,127456000,519351000,334059000,2185879000,19881
20221,중곡1동,11215740,2542359,6,3888581000,1551924000,146368000,108401000,373244000,492566000,31651000,151910000,183061000,153847000,695609000,15237
20221,중곡2동,11215750,2555101,6,3362595000,909898000,73685000,65710000,648190000,105871000,149249000,74904000,316674000,115433000,902981000,20517
20221,중곡3동,11215760,2390961,5,2320364000,644774000,27515000,64216000,332548000,467310000,105090000,70763000,113287000,100220000,394641000,15727
