주소,평균가격,평균면적
서울특별시 강남구 역삼동 902,332666.6666666667,98.45566666666667
서울특별시 강남구 율현동 365,149000.0,59.98
서울특별시 강남구 일원동 614,199333.33333333334,84.98
서울특별시 강남구 일원동 615,249250.0,83.69
서울특별시 강남구 일원동 711,104833.33333333333,41.596666666666664
서울특별시 강남구 일원동 716,233750.0,117.25
서울특별시 강남구 일원동 718,270000.0,118.204
서울특별시 강남구 일원동 719,151000.0,70.54714285714286
서울특별시 강남구 일원동 731,182833.33333333334,70.75
서울특별시 강남구 일원동 734,174500.0,74.54
서울특별시 강남구 일원동 735,206666.66666666666,81.68666666666667
서울특별시 강남구 일원동 741,305000.0,103.34
서울특별시 강남구 일원동 743,179136.5,84.83
서울특별시 강남구 자곡동 602,130000.0,59.96
서울특별시 강남구 자곡동 611,192500.0,96.95166666666667
서울특별시 강남구 자곡동 618,123500.0,74.44
서울특별시 강남구 자곡동 619,111950.41666666667,63.39333333333334
서울특별시 강남구 자곡동 686,177500.0,99.655
서울특별시 강남구 청담동 10,169500.0,95.9675
서울특별시 강남구 청담동 101-1,330000.0,166.3
서울특별시 강남구 청담동 101-17,747000.0,226.62
서울특별시 강남구 청담동 102-2,300000.0,187.73
서울특별시 강남구 청담동 104,526000.0,243.21
서울특별시 강남구 청담동 105-6,285000.0,133.97
서울특별시 강남구 청담동 108,288000.0,84.595
서울특별시 강남구 청담동 111-11,245000.0,159.94
서울특별시 강남구 청담동 117-22,386000.0,211.72
서울특별시 강남구 청담동 117-3,445000.0,244.95
서울특별시 강남구 청담동 117-6,495000.0,244.72
서울특별시 강남구 청담동 122-15,315000.0,164.99
서울특별시 강남구 청담동 122-35,43090.0,32.04974
서울특별시 강남구 청담동 127-31,294000.0,109.53
서울특별시 강남구 청담동 129,1450000.0,273.96
서울특별시 강남구 청담동 130-6,570000.0,183.5
서울특별시 강남구 청담동 134,327500.0,110.2
서울특별시 강남구 청담동 134-16,246666.66666666666,84.94
서울특별시 강남구 청담동 134-38,315000.0,76.317
서울특별시 강남구 청담동 14,214000.0,101.7
서울특별시 강남구 청담동 141-6,345000.0,172.74
서울특별시 강남구 청담동 30-33,280000.0,134.24
서울특별시 강남구 청담동 33,153500.0,71.985
서울특별시 강남구 청담동 34-13,23083.333333333332,13.208111111111112
서울특별시 강남구 청담동 43,160000.0,59.97
서울특별시 강남구 청담동 5-25,85000.0,35.905
서울특별시 강남구 청담동 59-2,270000.0,152.2
서울특별시 강남구 청담동 59-21,290000.0,242.34
서울특별시 강남구 청담동 60,235000.0,107.22
서울특별시 강남구 청담동 62-6,117562.0,91.68
서울특별시 강남구 청담동 64-1,675000.0,200.38
서울특별시 강남구 청담동 65,276750.0,127.5
서울특별시 강남구 청담동 67-1,330000.0,84.9979
서울특별시 강남구 청담동 76-12,34000.0,18.585
서울특별시 강남구 청담동 89-12,440000.0,270.25
서울특별시 강남구 청담동 90-13,156200.0,49.61
서울특별시 강동구 강일동 114,55000.0,59.99
서울특별시 강동구 강일동 665,113000.0,84.83
서울특별시 강동구 강일동 670,97500.0,84.83
서울특별시 강동구 강일동 673,108000.0,84.83
서울특별시 강동구 강일동 674,78000.0,84.53
서울특별시 강동구 강일동 684,101666.66666666667,84.60000000000001
서울특별시 강동구 강일동 686,101000.0,84.53
서울특별시 강동구 강일동 701,107500.0,84.53
서울특별시 강동구 강일동 717,91166.66666666667,68.12666666666667
서울특별시 강동구 고덕동 210-1,82670.0,59.120000000000005
서울특별시 강동구 고덕동 312,124566.66666666667,84.9
서울특별시 강동구 고덕동 470,90000.0,96.0
서울특별시 강동구 고덕동 486,115500.0,78.055
서울특별시 강동구 고덕동 499,153833.33333333334,99.32333333333334
서울특별시 강동구 고덕동 688,139178.57142857142,78.38142857142857
서울특별시 강동구 고덕동 693,135319.04761904763,71.43254761904761
서울특별시 강동구 길동 184,96000.0,84.85
서울특별시 강동구 길동 242-6,62875.0,76.57
서울특별시 강동구 길동 323-1,71000.0,234.01
서울특별시 강동구 길동 337-19,71000.0,71.99
서울특별시 강동구 길동 339-1,87000.0,84.82
서울특별시 강동구 길동 343-1,12337.5,16.959
서울특별시 강동구 길동 343-2,9583.333333333334,14.166
서울특별시 강동구 길동 344-5,67500.0,84.98
서울특별시 강동구 길동 347-20,64000.0,67.08
서울특별시 강동구 길동 349-1,13687.5,17.2
서울특별시 강동구 길동 351-2,58000.0,180.17
서울특별시 강동구 길동 353-40,61000.0,81.94
서울특별시 강동구 길동 356-8,35200.0,59.92
서울특별시 강동구 길동 361-18,68000.0,84.95
서울특별시 강동구 길동 365-1,60850.0,59.94
서울특별시 강동구 길동 371-9,65000.0,84.76
서울특별시 강동구 길동 379,66000.0,60.84
서울특별시 강동구 길동 384-4,75050.0,64.19
서울특별시 강동구 길동 384-5,59150.0,60.214999999999996
서울특별시 강동구 길동 387-2,15000.0,14.0
서울특별시 강동구 길동 387-4,30000.0,21.32
서울특별시 강동구 길동 387-5,11395.454545454546,16.826818181818183
서울특별시 강동구 길동 388-7,25630.0,28.974
서울특별시 강동구 길동 389-9,65000.0,68.46
서울특별시 강동구 길동 394-17,39500.0,43.1
서울특별시 강동구 길동 400,90916.66666666667,72.74333333333334
서울특별시 강동구 길동 413-11,22175.0,14.225
서울특별시 강동구 길동 414-4,12687.5,13.97
서울특별시 강동구 길동 414-6,42000.0,56.7
서울특별시 강동구 길동 415-13,11221.42857142857,13.777142857142858
서울특별시 강동구 길동 415-16,12333.333333333334,13.265
서울특별시 강동구 길동 445-1,85500.0,84.94
서울특별시 강동구 길동 456-3,12950.0,12.49
서울특별시 강동구 길동 456-4,27366.666666666668,22.400000000000002
서울특별시 강동구 길동 457,11914.285714285714,14.495
서울특별시 강동구 길동 457-1,11468.0,15.86
서울특별시 강동구 길동 470,115000.0,84.87
서울특별시 강동구 길동 474,134000.0,84.88
서울특별시 강동구 둔촌동 134-10,123500.0,84.78
서울특별시 강동구 둔촌동 135-1,91350.0,74.645
서울특별시 강동구 둔촌동 30-4,140000.0,84.36
서울특별시 강동구 둔촌동 426,80000.0,102.45
서울특별시 강동구 둔촌동 545,103233.33333333333,68.04
서울특별시 강동구 둔촌동 546,101975.0,66.05
서울특별시 강동구 둔촌동 555,100500.0,62.73
서울특별시 강동구 둔촌동 611,115000.0,84.49
서울특별시 강동구 둔촌동 613,72500.0,59.22
